Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) FRT_U1,Coverage (%) FRT_U2,Coverage (%) FRT_PM2,Coverage (%) FRT_PM1,Coverage (%) Fluid_U2,Coverage (%) Fluid_U1,Coverage (%) Fluid_PM1,Coverage (%) Fluid_PM2,Area FRT_U1,Area FRT_U2,Area FRT_PM2,Area FRT_PM1,Area Fluid_U2,Area Fluid_U1,Area Fluid_PM1,Area Fluid_PM2,Peptides,Unique,Spec FRT_U1,Spec FRT_U2,Spec FRT_PM2,Spec FRT_PM1,Spec Fluid_U2,Spec Fluid_U1,Spec Fluid_PM1,Spec Fluid_PM2,PTM,Avg. Mass,Description
7,11,FBgn0004507,444.10,82,71,67,73,70,81,71,68,70,8.512E9,8.3965E9,9.1288E9,8.4698E9,6.7845E9,2.2999E9,6.7342E8,8.9505E8,124,124,1623,1408,1422,1317,1478,928,899,517,Carbamidomethylation; Oxidation (M); Deamidation (NQ),96997,FBpp0077501
45,55,FBgn0087002,437.78,62,15,17,21,22,61,50,47,40,3.6168E7,5.697E7,7.8973E7,7.3371E7,1.7746E9,5.9671E8,1.7149E8,1.0566E8,191,191,77,73,113,103,890,468,337,258,Carbamidomethylation; Oxidation (M); Deamidation (NQ),372678,FBpp0088252
10,368,FBgn0000055,436.19,95,88,95,95,88,95,87,91,88,2.0192E10,1.7656E10,1.7176E10,9.0396E9,1.1446E10,2.25E9,2.4795E9,3.6429E9,114,114,1064,1223,1010,684,1132,1140,976,557,Carbamidomethylation; Deamidation (NQ),27734,FBpp0100045
66,84,FBgn0260442,434.39,63,43,49,54,59,31,22,14,6,3.7003E8,5.6561E8,6.2735E8,6.1397E8,5.1316E7,2.0592E7,3.3197E6,1.0829E6,135,134,347,375,429,418,109,63,32,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ),306993,FBpp0293740
49,85,FBgn0250788,429.26,67,53,63,61,61,26,21,12,7,6.1787E8,1.1392E9,1.1466E9,1.1644E9,2.5797E7,1.1543E7,1.9665E6,6.6796E5,138,137,441,514,554,532,62,42,24,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),267625,FBpp0306507
108,137,FBgn0004167,425.24,44,23,34,33,35,22,16,15,10,7.5856E7,1.9653E8,1.9006E8,1.8953E8,4.1042E7,1.3222E7,5.5412E6,1.9856E6,154,153,140,222,226,206,101,59,55,37,Carbamidomethylation; Oxidation (M); Deamidation (NQ),497560,FBpp0289294
11,25,FBgn0000045,424.09,83,78,78,80,80,55,53,52,49,1.2911E7,3.163E6,7.7255E7,2.0568E7,0,,,,111,3,1823,1978,1701,1704,353,245,177,138,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41787,FBpp0078131
19,116,FBgn0003149,422.35,71,71,70,69,70,59,48,50,51,5.0992E9,7.494E9,6.5941E9,7.0568E9,1.4766E8,2.7441E7,9.6695E6,1.2843E7,88,87,1099,1122,964,972,158,76,98,63,Carbamidomethylation; Oxidation (M); Deamidation (NQ),102338,FBpp0076321
9,10,FBgn0000043,421.31,91,79,78,89,83,55,55,55,55,8.7306E6,1.0344E7,9.5497E6,1.3212E7,,,,,110,2,1840,2049,1772,1737,400,279,193,151,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41824,FBpp0085365
38,39,FBgn0014141,419.55,61,41,43,50,52,54,45,36,32,3.544E8,5.7187E8,6.4073E8,6.521E8,8.1571E8,2.2786E8,5.2549E7,6.4962E7,126,126,365,391,443,423,528,280,239,134,Carbamidomethylation; Oxidation (M); Deamidation (NQ),278816,FBpp0428261
42,132,FBgn0034618,418.30,67,48,49,52,55,64,53,54,46,5.4469E8,6.7796E8,8.2733E8,7.5566E8,7.1336E8,3.2443E8,1.0275E8,4.4928E7,95,94,417,403,439,415,390,225,209,119,Carbamidomethylation; Oxidation (M); Deamidation (NQ),183218,FBpp0071526
69,145,FBgn0053519,414.22,44,25,37,38,38,27,22,14,11,2.0066E8,5.2443E8,5.1184E8,5.6587E8,1.0191E8,3.7366E7,6.2321E6,3.7499E6,139,138,244,375,364,367,160,95,54,41,Carbamidomethylation; Oxidation (M); Deamidation (NQ),475660,FBpp0112375
77,169,FBgn0002526,413.99,41,33,36,37,37,24,18,17,13,4.1955E8,7.76E8,7.5809E8,7.5223E8,7.4219E7,2.6878E7,8.6423E6,4.7378E6,128,126,299,358,374,348,104,63,60,43,Carbamidomethylation; Oxidation (M); Deamidation (NQ),411132,FBpp0076722
30,61,FBgn0027580,406.11,67,65,65,64,64,53,44,37,36,1.8403E9,2.1089E9,2.2776E9,1.9102E9,5.2351E7,2.7188E7,8.3674E6,6.1835E6,80,80,875,860,842,721,101,55,96,40,Carbamidomethylation; Oxidation (M); Deamidation (NQ),132674,FBpp0087539
23,22,FBgn0263598,398.06,89,89,83,87,86,79,77,77,69,1.4434E9,1.8961E9,1.8812E9,1.9126E9,3.6829E8,1.3903E8,5.097E7,2.5832E7,62,36,836,862,828,768,311,264,126,95,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68302,FBpp0079999
73,96,FBgn0010434,396.29,57,48,52,53,54,39,38,25,22,2.1069E8,3.5423E8,3.9519E8,4.3425E8,6.6623E7,4.2502E7,4.4941E6,3.4793E6,76,76,290,340,368,349,128,112,61,34,Carbamidomethylation; Oxidation (M); Deamidation (NQ),184167,FBpp0085697
51,35,FBgn0020236,396.25,70,59,60,62,59,69,63,55,49,5.9291E8,6.4306E8,6.0151E8,4.5239E8,7.909E8,3.8114E8,4.0217E7,6.4069E7,72,72,306,300,301,236,390,230,209,144,Carbamidomethylation; Oxidation (M); Deamidation (NQ),121405,FBpp0289823
21,86,FBgn0010217,396.09,83,82,83,81,83,50,64,55,28,5.0776E9,4.4792E9,4.9845E9,5.6172E9,1.1241E7,2.2832E7,2.4488E6,1.4802E6,60,55,1121,1301,1039,973,45,51,48,15,Oxidation (M); Deamidation (NQ),54683,FBpp0305828
113,110,FBgn0011722,395.19,57,39,48,51,51,21,18,8,6,2.6051E8,4.6335E8,5.7374E8,4.7572E8,2.0811E7,6.5909E6,1.0485E6,5.9473E5,109,108,196,231,278,255,51,43,18,15,Oxidation (M); Deamidation (NQ),257443,FBpp0078905
55,128,FBgn0010352,394.25,66,55,62,64,63,17,15,7,10,7.1781E8,1.0116E9,1.0352E9,1.0095E9,7.2734E6,1.6916E6,4.0226E5,2.0296E5,69,68,500,560,556,515,22,15,9,8,Carbamidomethylation; Oxidation (M); Deamidation (NQ),122896,FBpp0111773
26,28,FBgn0000667,392.71,80,75,75,75,79,70,62,50,49,2.0856E9,2.6644E9,3.0812E9,2.9585E9,3.4716E8,1.1471E8,1.354E7,2.0491E7,82,82,821,806,844,766,249,169,123,59,Carbamidomethylation; Oxidation (M); Deamidation (NQ),106373,FBpp0070331
15,100,FBgn0027560,390.00,78,65,66,66,66,74,68,68,72,2.6216E9,2.9523E9,2.4721E9,1.8283E9,3.1357E9,1.2909E9,2.9594E8,3.5435E8,78,78,672,671,554,474,814,488,531,279,Carbamidomethylation; Oxidation (M); Deamidation (NQ),91135,FBpp0077121
33,36,FBgn0037607,385.76,84,74,77,76,77,84,81,73,75,1.1157E9,1.6308E9,1.2478E9,9.9213E8,2.083E9,5.6057E8,2.3853E8,1.2783E8,57,54,500,476,432,342,574,362,269,186,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68032,FBpp0081370
35,56,FBgn0266599,385.01,83,78,79,80,80,83,78,68,61,1.177E9,1.6218E9,1.4396E9,1.1737E9,6.3617E8,3.4647E8,9.1071E7,5.9595E7,61,43,536,487,522,453,399,317,157,133,Carbamidomethylation; Oxidation (M); Deamidation (NQ),71132,FBpp0082514
25,2,FBgn0003884,383.10,84,80,80,80,83,75,72,74,72,1.0347E9,1.022E9,1.1889E9,1.3686E9,5.8778E8,3.3116E8,6.9298E7,1.4402E8,66,34,627,648,569,502,581,383,313,198,Carbamidomethylation; Oxidation (M); Deamidation (NQ),49908,FBpp0081153
84,26,FBgn0012036,377.64,82,81,75,75,75,56,47,51,37,1.5689E9,8.2133E8,1.3111E9,1.4326E9,2.1622E7,1.6255E7,8.2418E6,9.4195E6,60,59,364,339,355,300,45,26,49,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57019,FBpp0079406
150,212,FBgn0261797,376.86,39,13,23,24,24,22,19,14,9,4.2601E7,1.0973E8,8.4151E7,9.644E7,5.1012E7,2.0387E7,7.0318E6,3.0154E6,145,145,86,134,134,134,111,77,56,37,Carbamidomethylation; Oxidation (M); Deamidation (NQ),532605,FBpp0304991
146,123,FBgn0036663,376.73,52,22,30,30,36,48,39,36,26,2.8004E7,7.8308E7,6.6396E7,7.8771E7,1.7552E8,6.5917E7,2.4518E7,1.0321E7,88,88,74,102,116,126,192,106,86,60,Carbamidomethylation; Oxidation (M); Deamidation (NQ),232203,FBpp0297083
172,151,FBgn0085446,375.25,19,11,14,15,16,3,4,1,3,1.0642E8,1.3669E8,2.1891E8,2.239E8,6.7111E6,3.2183E6,8.0406E5,7.8515E5,77,77,117,153,177,164,31,16,7,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),580209,FBpp0307656
57,65,FBgn0020385,373.68,76,62,60,63,64,74,72,70,61,6.2206E8,6.4708E8,4.9759E8,4.226E8,1.1157E9,2.5381E8,5.913E7,8.2151E7,76,76,290,259,227,212,417,224,224,122,Carbamidomethylation; Oxidation (M); Deamidation (NQ),103504,FBpp0081741
44,40,FBgn0011211,372.75,74,73,71,70,72,31,32,26,26,5.5922E9,3.1455E9,4.7465E9,4.7165E9,7.5549E6,2.0751E7,2.4014E6,2.2501E6,61,60,629,650,636,542,28,36,29,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ),59422,FBpp0071794
91,95,FBgn0250814,372.37,82,80,80,80,82,7,16,0,0,8.8932E8,1.2249E9,1.0599E9,9.0232E8,3.8813E4,2.9561E5,,,46,46,359,370,373,344,2,6,0,0,Carbamidomethylation; Deamidation (NQ),45415,FBpp0075069
61,5,FBgn0039241,372.08,81,70,68,70,67,79,73,69,65,7.2678E8,6.882E8,5.1802E8,3.2994E8,9.1791E8,2.1164E8,8.3066E7,5.0642E7,53,53,355,292,252,192,394,219,140,107,Carbamidomethylation; Oxidation (M); Deamidation (NQ),63324,FBpp0084087
28,13,FBgn0000559,371.62,72,64,60,66,66,70,57,62,58,9.8696E8,1.2135E9,1.0287E9,9.0696E8,1.2652E9,3.5992E8,9.4084E7,1.5465E8,63,63,511,524,530,453,564,339,306,191,Carbamidomethylation; Oxidation (M); Deamidation (NQ),94459,FBpp0085265
53,48,FBgn0010100,371.38,69,64,66,66,68,43,31,25,22,1.2861E9,1.397E9,1.5091E9,1.3329E9,2.1936E7,5.5893E6,1.9211E6,2.8097E6,56,48,544,518,513,406,42,26,22,18,Carbamidomethylation; Oxidation (M); Deamidation (NQ),85398,FBpp0081002
24,168,FBgn0000116,370.65,65,57,59,62,60,53,51,51,43,2.4255E9,2.6433E9,2.0595E9,2.4319E9,2.3302E9,2.4434E9,8.2953E8,4.7149E8,78,72,554,518,546,468,620,552,307,202,Carbamidomethylation; Oxidation (M); Deamidation (NQ),61264,FBpp0076270
127,83,FBgn0000052,368.63,67,38,36,43,40,66,53,50,45,1.351E8,1.2732E8,1.4738E8,8.3856E7,4.1406E8,9.6967E7,2.9585E7,2.5733E7,68,67,124,118,113,84,267,106,105,92,Carbamidomethylation; Oxidation (M); Deamidation (NQ),148085,FBpp0078850
34,6,FBgn0005671,368.44,82,82,82,82,82,82,80,73,70,1.9153E9,1.4791E9,2.2216E9,2.3914E9,2.4558E8,1.9435E8,3.9394E7,5.4347E7,43,43,568,624,631,554,256,171,178,87,Carbamidomethylation; Oxidation (M); Deamidation (NQ),54549,FBpp0082139
86,19,FBgn0004397,367.88,72,69,66,67,69,67,50,42,36,4.4815E8,4.5134E8,5.7553E8,5.0968E8,1.9604E8,4.267E7,5.2034E6,1.0007E7,59,59,267,248,264,254,177,89,93,41,Carbamidomethylation; Oxidation (M); Deamidation (NQ),106302,FBpp0070404
22,160,FBgn0284243,367.40,77,71,77,77,77,77,77,75,75,5.4789E8,4.7721E8,5.9811E8,6.0291E8,1.8732E8,1.2244E8,4.635E7,6.0635E7,56,18,651,638,646,546,594,454,378,260,Carbamidomethylation; Oxidation (M); Deamidation (NQ),51297,FBpp0085721
203,139,FBgn0265434,365.92,45,21,28,31,28,34,23,23,15,5.3895E7,7.317E7,9.7553E7,7.0006E7,5.6963E7,2.2212E7,7.4181E6,4.1007E6,86,84,76,88,105,90,96,54,46,27,Carbamidomethylation; Oxidation (M); Deamidation (NQ),236627,FBpp0072306
20,15,FBgn0000064,365.79,80,78,78,78,75,77,75,77,77,2.4736E9,3.3143E9,2.7753E9,2.2862E9,2.1787E9,1.7864E9,8.0259E8,3.943E8,53,51,658,647,653,539,654,498,337,209,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39561,FBpp0084373
117,57,FBgn0040064,365.00,84,84,84,84,84,52,45,61,27,6.6414E8,9.4317E8,7.7242E8,7.563E8,1.5184E7,1.091E7,7.8131E6,3.4804E6,40,40,270,258,280,251,34,34,33,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41610,FBpp0079472
87,68,FBgn0032945,364.73,72,60,64,63,58,69,61,54,63,1.9908E8,2.2482E8,2.1723E8,1.3671E8,2.9324E8,8.3772E7,2.199E7,3.9995E7,61,60,184,186,177,141,259,157,162,114,Carbamidomethylation; Oxidation (M); Deamidation (NQ),100298,FBpp0081045
79,170,FBgn0263006,362.90,53,49,51,51,53,13,14,0,0,1.1601E9,1.654E9,1.6684E9,1.649E9,1.6446E6,2.1316E6,,,58,58,385,425,421,424,10,14,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),111701,FBpp0072121
189,284,FBgn0032136,362.70,34,1,2,3,2,31,24,19,15,5.2686E5,9.6631E5,1.6452E6,1.3158E6,2.9935E8,9.7104E7,2.2697E7,1.5294E7,129,129,4,6,13,8,259,155,93,69,Carbamidomethylation; Oxidation (M); Deamidation (NQ),494325,FBpp0292877
59,245,FBgn0004363,362.67,89,89,87,86,83,7,14,0,0,2.6768E9,2.3989E9,2.2828E9,1.8666E9,3.428E5,1.1547E5,,,49,49,466,598,556,466,2,7,0,0,Deamidation (NQ),30550,FBpp0079771
99,94,FBgn0028479,360.37,62,60,59,60,60,18,13,6,5,7.1263E8,9.288E8,9.885E8,7.8749E8,2.9737E6,1.1731E6,2.0445E5,1.5492E5,48,48,321,329,316,266,13,10,3,3,Carbamidomethylation; Oxidation (M); Deamidation (NQ),84075,FBpp0079454
18,253,FBgn0001092,359.46,84,84,82,84,82,82,82,82,82,7.2272E8,7.787E8,7.0569E8,6.8453E8,5.4878E8,4.468E8,1.73E8,8.5914E7,52,21,644,611,567,482,616,526,278,218,Carbamidomethylation; Oxidation (M); Deamidation (NQ),35369,FBpp0073922
48,51,FBgn0002719,357.77,54,53,50,52,51,50,47,48,45,9.3163E8,9.531E8,9.1078E8,7.6867E8,1.247E9,3.5785E8,1.3064E8,7.4011E7,48,44,429,347,354,264,335,229,173,125,Carbamidomethylation; Oxidation (M); Deamidation (NQ),84626,FBpp0082129
154,167,FBgn0267348,357.76,43,32,35,38,42,23,16,11,11,1.6633E8,2.0082E8,2.8435E8,2.5254E8,2.9357E7,1.1265E7,3.2639E6,8.0925E5,58,58,178,169,213,198,50,23,16,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ),182339,FBpp0076111
72,27,FBgn0024957,356.63,75,67,63,65,64,65,61,67,66,2.4077E8,2.576E8,2.9775E8,2.6164E8,4.0771E8,1.0178E8,3.5206E7,4.8304E7,54,42,245,232,238,224,294,177,244,135,Carbamidomethylation; Oxidation (M); Deamidation (NQ),98578,FBpp0081736
58,78,FBgn0265180,356.16,72,64,64,64,64,70,65,62,59,4.6067E8,6.4708E8,4.9948E8,4.5991E8,1.885E9,5.8238E8,1.7169E8,1.3896E8,40,40,277,244,227,214,466,308,200,140,Deamidation (NQ),49703,FBpp0308240
97,73,FBgn0035121,355.80,67,52,56,57,54,63,54,49,50,3.0595E8,3.1093E8,3.4456E8,2.6837E8,3.3455E8,8.1269E7,1.635E7,3.0954E7,56,56,181,176,163,147,206,117,137,80,Carbamidomethylation; Oxidation (M); Deamidation (NQ),103100,FBpp0072419
37,106,FBgn0000579,354.11,67,65,63,63,62,64,59,59,60,1.5094E9,1.1099E9,1.3303E9,1.4615E9,9.6797E8,7.8136E8,2.2344E8,2.8887E8,47,47,417,421,365,311,503,351,314,188,Carbamidomethylation; Oxidation (M); Deamidation (NQ),54310,FBpp0077571
40,77,FBgn0267385,354.09,84,74,74,72,74,84,77,71,71,8.4606E8,1.0158E9,8.3461E8,8.6693E8,6.7673E8,4.0893E8,1.0619E8,1.2246E8,47,47,388,431,379,349,521,317,321,188,Carbamidomethylation; Oxidation (M); Deamidation (NQ),57440,FBpp0083611
96,126,FBgn0086450,353.23,62,46,45,49,50,62,56,45,47,1.5527E8,1.7348E8,1.7416E8,1.3889E8,2.9722E8,1.1163E8,1.5467E7,3.1246E7,54,54,142,132,128,115,272,163,139,108,Carbamidomethylation; Oxidation (M); Deamidation (NQ),111225,FBpp0071273
125,148,FBgn0000319,352.52,54,29,39,39,37,46,40,36,33,7.5545E7,3.1242E8,3.595E8,3.5061E8,1.6268E8,7.1493E7,1.9963E7,1.08E7,75,75,119,167,151,141,157,95,71,61,Carbamidomethylation; Oxidation (M); Deamidation (NQ),191176,FBpp0073966
187,50,FBgn0017566,351.99,70,65,64,68,69,0,2,0,0,3.2005E8,4.7801E8,3.9874E8,3.5755E8,,1.2781E5,,,43,43,191,192,192,166,0,1,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),78630,FBpp0071128
63,49,FBgn0286818,351.75,84,84,81,80,80,52,58,34,24,1.5625E9,1.6121E9,1.2883E9,1.4176E9,2.4489E7,2.2366E7,1.4246E6,1.3351E6,49,49,528,461,479,427,52,41,36,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),55781,FBpp0075401
162,163,FBgn0002921,348.94,54,52,53,54,54,2,16,0,0,3.9823E8,5.7565E8,6.4317E8,5.4754E8,4.8727E4,3.0652E6,,,52,47,194,193,216,195,1,14,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),115605,FBpp0088502
65,32,FBgn0053138,347.97,70,62,62,66,67,64,61,65,64,5.8496E8,7.7928E8,7.3116E8,5.7506E8,5.5306E8,2.2273E8,1.0195E8,5.0065E7,50,50,260,235,244,199,305,284,169,132,Carbamidomethylation; Oxidation (M); Deamidation (NQ),79109,FBpp0086845
60,20,FBgn0003076,347.92,77,64,62,63,64,70,59,57,61,6.9624E8,8.0948E8,5.7941E8,4.1184E8,1.2637E9,3.0368E8,1.3785E8,8.3922E7,43,42,290,272,243,162,375,214,179,136,Carbamidomethylation; Oxidation (M); Deamidation (NQ),60766,FBpp0075247
147,108,FBgn0041180,346.12,52,17,26,29,28,46,48,33,22,2.5634E7,6.6625E7,4.5228E7,4.7927E7,1.8148E8,8.9852E7,1.5352E7,8.903E6,66,66,45,85,66,74,216,181,103,60,Carbamidomethylation; Oxidation (M); Deamidation (NQ),168757,FBpp0303747
228,147,FBgn0264975,346.06,51,31,39,42,49,0,1,0,0,1.5527E8,2.2085E8,2.9223E8,2.8107E8,,2.5538E4,,,51,51,138,133,157,158,0,1,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),145520,FBpp0297081
29,340,FBgn0001091,345.80,76,76,71,73,71,71,71,71,71,3.3438E8,3.1469E8,2.3188E8,1.7478E8,2.0468E8,1.7494E8,4.5673E7,2.5747E7,44,14,538,505,449,381,518,454,236,183,Carbamidomethylation; Oxidation (M); Deamidation (NQ),35350,FBpp0087977
135,3,FBgn0260049,345.64,74,59,66,62,68,74,71,69,50,1.0178E8,1.4413E8,1.3132E8,1.1751E8,5.8212E8,1.8203E8,4.4537E7,2.8866E7,42,41,72,88,92,89,242,168,78,64,Carbamidomethylation; Oxidation (M); Deamidation (NQ),66550,FBpp0075581
140,42,FBgn0034432,344.91,71,71,71,63,71,26,17,8,3,6.151E8,8.5587E8,7.47E8,6.3348E8,2.374E6,1.2233E6,4.2827E5,3.8848E4,42,41,270,242,243,213,14,8,5,2,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68368,FBpp0289511
76,29,FBgn0265262,344.58,82,62,61,65,64,65,62,54,36,9.2551E6,2.9643E7,3.8416E7,2.2957E7,1.5455E7,4.7536E6,1.6186E6,5.0576E5,44,19,347,358,351,326,151,128,67,46,Carbamidomethylation; Oxidation (M); Deamidation (NQ),68376,FBpp0080010
136,158,FBgn0001114,343.61,54,44,41,51,48,27,26,18,15,5.4109E8,5.7817E8,6.9918E8,6.3816E8,3.633E7,4.0958E7,6.0653E6,5.6642E6,44,44,191,203,222,185,69,44,24,15,Carbamidomethylation; Deamidation (NQ),118750,FBpp0079331
52,46,FBgn0001248,342.98,70,70,70,70,70,68,62,67,65,9.5302E8,5.545E8,7.5525E8,7.7087E8,4.5356E8,3.0638E8,1.5446E8,1.1865E8,42,42,360,322,317,269,273,188,137,90,Carbamidomethylation; Oxidation (M); Deamidation (NQ),53643,FBpp0305272
39,31,FBgn0001128,342.72,89,80,79,88,89,89,84,83,84,1.1434E9,1.1741E9,1.0449E9,7.6775E8,9.0844E8,4.9858E8,2.7121E8,1.9981E8,37,37,474,440,387,318,436,340,215,161,Carbamidomethylation; Oxidation (M); Deamidation (NQ),39329,FBpp0078777
83,166,FBgn0265991,342.52,20,19,20,20,20,14,13,6,7,4.2375E8,5.306E8,6.6989E8,6.617E8,5.035E7,3.0294E7,3.2198E6,5.9885E6,38,38,258,314,280,265,128,123,39,27,Carbamidomethylation; Deamidation (NQ),238061,FBpp0099801
27,104,FBgn0284245,340.21,71,55,64,57,63,69,64,65,60,6.4923E8,9.5566E8,8.8024E8,1.1218E9,4.7077E8,2.5879E8,1.5024E8,1.0919E8,44,22,593,684,534,482,527,412,292,180,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50307,FBpp0087142
80,112,FBgn0001218,339.87,68,55,60,60,65,27,32,15,10,8.4811E8,7.6334E8,9.5169E8,7.9679E8,6.1568E6,5.7914E7,6.6681E5,3.3529E5,47,40,378,346,337,305,88,75,26,26,Carbamidomethylation; Oxidation (M); Deamidation (NQ),72261,FBpp0073445
107,90,FBgn0003074,338.99,75,62,70,68,66,75,67,66,55,2.3491E8,4.1281E8,2.8795E8,2.7516E8,5.057E8,1.7876E8,5.9803E7,4.2861E7,35,35,158,154,128,117,241,159,130,84,Carbamidomethylation; Oxidation (M); Deamidation (NQ),62339,FBpp0087760
202,23,FBgn0015245,338.72,69,64,65,65,63,42,27,22,19,2.4212E8,2.3919E8,1.9212E8,1.5338E8,5.3222E6,2.1508E6,9.6386E5,2.8231E5,42,32,200,143,148,122,24,15,10,8,Carbamidomethylation; Oxidation (M); Deamidation (NQ),60809,FBpp0073290
90,246,FBgn0262559,337.75,77,77,77,77,73,58,46,46,32,1.419E9,1.2458E9,1.0875E9,9.0525E8,2.7878E7,9.129E6,9.5827E6,3.4564E6,45,45,368,317,299,273,38,46,24,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),35318,FBpp0082985
128,66,FBgn0022160,337.54,67,62,66,58,66,0,4,0,0,4.3635E8,6.2395E8,5.5778E8,5.0846E8,,3.0189E5,,,45,45,265,269,266,234,0,3,0,0,Carbamidomethylation; Oxidation (M); Deamidation (NQ),80422,FBpp0086442
46,47,FBgn0035978,337.45,77,73,70,68,71,73,70,67,70,8.5099E8,1.4568E9,8.338E8,7.4798E8,9.3808E8,3.9287E8,8.5661E7,1.0299E8,41,41,387,395,343,277,388,229,247,162,Carbamidomethylation; Oxidation (M); Deamidation (NQ),58753,FBpp0099884
102,119,FBgn0011661,337.07,56,52,49,47,51,54,49,40,43,4.7778E8,4.9458E8,5.2579E8,5.5883E8,2.5844E8,8.8466E7,1.5713E7,1.0245E7,45,45,200,177,191,178,135,96,39,46,Carbamidomethylation; Oxidation (M); Deamidation (NQ),76171,FBpp0071213
