Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,FRT_U1 Area,FRT_U2 Area,FRT_PM2 Area,FRT_PM1 Area,Fluid_U2 Area,Fluid_U1 Area,Fluid_PM1 Area,Fluid_PM2 Area,FRT_U1 Area (top-3 peptides),FRT_U2 Area (top-3 peptides),FRT_PM2 Area (top-3 peptides),FRT_PM1 Area (top-3 peptides),Fluid_U2 Area (top-3 peptides),Fluid_U1 Area (top-3 peptides),Fluid_PM1 Area (top-3 peptides),Fluid_PM2 Area (top-3 peptides),Sample Profile (Ratio),Tissue Area,Fluid Area,Tissue Area (top-3 peptides),Fluid Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
64,94,FBgn0028479,200.00,21,14,14,Oxidation (M),2.8105E8,1.9954E8,1.3019E8,1.0503E8,1.0305E7,1.5269E7,3.8414E6,8.0034E6,1.2145E8,1.1974E8,1.1503E8,9.5263E7,4.5022E6,6.7419E6,3.0088E6,3.2772E6,1.06:1.04:1.00:0.83:0.04:0.06:0.03:0.03,1.8168E8,1.1753E7,1.1287E8,5.0473E6,1.00:0.04,84075,FBpp0079454
67,167,FBgn0267348,200.00,6,8,8,,3.7514E7,3.1886E7,4.435E7,4.0056E7,4.4814E6,2.4408E6,1.829E6,2.8846E6,2.1626E7,1.8009E7,2.4559E7,2.2738E7,2.5205E6,1.6203E6,1.3204E6,1.7523E6,0.88:0.73:1.00:0.93:0.10:0.07:0.05:0.07,3.8451E7,3.5485E6,2.1733E7,2.0434E6,1.00:0.09,182339,FBpp0076111
68,27,FBgn0024957,200.00,52,35,35,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.2901E8,2.2433E8,2.6591E8,2.4974E8,8.6524E8,5.0359E8,4.5865E8,7.9441E8,4.2582E7,3.9534E7,4.6482E7,3.4585E7,1.9841E8,9.7285E7,1.1747E8,2.1124E8,0.92:0.85:1.00:0.74:4.27:2.09:2.53:4.54,2.4304E8,6.5807E8,4.0849E7,1.561E8,1.00:3.82,98578,FBpp0081736
69,78,FBgn0265180,200.00,64,27,27,Deamidation (NQ),3.5875E8,5.4655E8,4.0511E8,3.8714E8,4.077E9,3.046E9,2.4159E9,2.0491E9,7.604E7,1.6327E8,1.262E8,1.1689E8,1.2414E9,1.097E9,7.1152E8,5.8823E8,0.60:1.29:1.00:0.93:9.84:8.69:5.64:4.66,4.2935E8,2.9007E9,1.2334E8,9.0959E8,1.00:7.37,49703,FBpp0308240
75,148,FBgn0000319,200.00,12,17,17,Carbamidomethylation,2.5583E7,3.5847E7,3.5644E7,3.7617E7,2.111E7,9.5378E6,4.8677E6,8.5492E6,1.1396E7,1.6383E7,1.5129E7,1.5462E7,6.2197E6,3.5252E6,9.9223E5,3.1943E6,0.75:1.08:1.00:1.02:0.41:0.23:0.07:0.21,3.4326E7,1.1322E7,1.4592E7,3.5793E6,1.00:0.25,191176,FBpp0073966
77,49,FBgn0286818,200.00,56,23,23,Oxidation (M); Deamidation (NQ),1.3023E8,9.9252E8,3.0988E8,6.0028E8,5.7108E7,1.2053E8,1.2074E7,8.6607E6,3.9175E7,2.6853E8,8.5578E7,1.5971E8,1.3176E7,2.558E7,9.8583E5,1.9461E6,0.46:3.14:1.00:1.87:0.15:0.30:0.02:0.02,5.0823E8,5.6908E7,1.3825E8,1.5097E7,1.00:0.11,55781,FBpp0075401
80,20,FBgn0003076,200.00,56,33,33,Carbamidomethylation; Oxidation (M); Deamidation (NQ),5.7433E8,7.1757E8,4.5822E8,3.8234E8,2.6442E9,1.6834E9,1.9539E9,1.358E9,1.0844E8,1.4843E8,1.0849E8,9.0905E7,9.8463E8,3.9496E8,5.7314E8,3.9505E8,1.00:1.37:1.00:0.84:9.08:3.64:5.28:3.64,5.4331E8,1.9271E9,1.1449E8,5.8814E8,1.00:5.14,60766,FBpp0075247
84,3,FBgn0260049,200.00,64,28,28,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.0754E8,1.4849E8,1.3696E8,1.2954E8,1.2282E9,9.9342E8,7.4534E8,5.6771E8,2.2076E7,2.8991E7,2.651E7,2.5688E7,3.6049E8,1.9277E8,2.2242E8,1.2153E8,0.83:1.09:1.00:0.97:13.60:7.27:8.39:4.58,1.3171E8,8.898E8,2.6142E7,2.2436E8,1.00:8.58,66550,FBpp0075581
85,42,FBgn0034432,200.00,23,12,12,Carbamidomethylation; Oxidation (M); Deamidation (NQ),2.5669E8,3.288E8,2.8994E8,2.8525E8,5.6814E6,1.4002E7,1.1175E7,4.0062E6,9.9064E7,1.3085E8,1.1718E8,1.2365E8,1.4537E6,6.9468E6,4.9926E6,4.8997E5,0.85:1.12:1.00:1.06:0.02:0.06:0.04:0.02,2.9017E8,1.0966E7,1.1768E8,4.8965E6,1.00:0.04,68368,FBpp0289511
88,46,FBgn0001248,200.00,57,28,28,Carbamidomethylation; Oxidation (M),1.7188E8,1.4824E8,2.2895E8,1.7947E8,1.004E9,4.99E7,2.1893E9,1.8819E9,8.7383E7,4.8576E7,6.2103E7,5.0012E7,2.5892E8,1.5204E7,6.0672E8,4.92E8,1.41:0.78:1.00:0.81:4.17:0.24:9.77:7.92,2.0907E8,1.443E9,6.7798E7,3.7461E8,1.00:5.53,53643,FBpp0305272
90,166,FBgn0265991,200.00,10,19,19,Carbamidomethylation,2.5055E8,3.1302E8,3.642E8,3.7075E8,4.0919E7,1.2547E8,8.1357E7,4.0667E7,1.0835E8,1.1547E8,1.2856E8,1.3845E8,1.9791E7,3.5837E7,8.7334E6,2.1241E7,0.84:0.90:1.00:1.08:0.15:0.28:0.07:0.17,3.2622E8,8.0216E7,1.2275E8,2.4519E7,1.00:0.20,238061,FBpp0099801
92,112,FBgn0001218,200.00,22,14,14,Oxidation (M),2.9345E8,3.077E8,3.1813E8,2.7412E8,1.591E7,3.5957E7,1.7832E7,7.2899E6,1.1586E8,1.2336E8,1.2649E8,1.0627E8,2.9131E6,4.0246E6,7.5122E6,2.406E6,0.92:0.98:1.00:0.84:0.02:0.03:0.06:0.02,2.9864E8,2.6117E7,1.18E8,5.9138E6,1.00:0.05,72261,FBpp0073445
94,23,FBgn0015245,200.00,26,12,12,,1.508E8,1.7567E8,1.4287E8,1.2531E8,1.249E7,1.2276E7,1.4964E7,5.6779E6,6.3855E7,7.8553E7,6.3725E7,5.1351E7,5.4298E6,7.3037E6,7.4044E6,1.8365E6,1.00:1.23:1.00:0.81:0.09:0.11:0.12:0.03,1.4866E8,1.3569E7,6.4371E7,7.3248E6,1.00:0.11,60809,FBpp0073290
95,246,FBgn0262559,200.00,58,16,16,Carbamidomethylation; Oxidation (M); Deamidation (NQ),4.2702E7,9.1157E8,7.8115E8,8.372E8,6.6067E7,5.4667E7,2.0811E8,7.2133E7,9.3784E6,3.5456E8,3.3611E8,3.5425E8,1.6213E7,1.3687E7,8.3233E7,2.4708E7,0.03:1.05:1.00:1.05:0.05:0.04:0.25:0.07,6.9585E8,1.092E8,2.8658E8,3.5751E7,1.00:0.12,35318,FBpp0082985
104,739,FBgn0002773,200.00,48,11,11,Oxidation (M),6.1188E8,5.083E8,6.3271E8,6.2212E8,3.6517E7,5.0161E6,5.4424E7,2.6889E7,3.5089E8,3.0297E8,4.0698E8,3.6072E8,1.7108E7,2.9091E6,1.9591E7,1.3578E7,0.86:0.74:1.00:0.89:0.04:0.02:0.05:0.03,5.9994E8,3.412E7,3.6158E8,1.3721E7,1.00:0.04,23714,FBpp0088688
109,45,FBgn0036824,200.00,44,15,15,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.4747E8,8.2152E8,7.2743E8,6.4141E8,5.1932E7,6.8861E7,1.5786E8,4.8505E7,7.4359E7,2.7197E8,2.5172E8,2.2722E8,2.0236E7,2.4834E7,5.6464E7,1.56E7,0.30:1.08:1.00:0.90:0.08:0.10:0.22:0.06,6.1283E8,8.8923E7,2.0632E8,3.2653E7,1.00:0.16,45366,FBpp0074843
110,89,FBgn0001125,200.00,57,17,17,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.1506E8,5.6377E8,5.1526E8,5.6543E8,3.4965E7,1.3941E7,1.3179E8,6.6039E7,1.1241E8,2.4783E8,2.2358E8,2.5276E8,1.4903E7,2.1159E6,4.7284E7,2.4894E7,0.50:1.11:1.00:1.13:0.07:0.02:0.21:0.11,4.8363E8,6.7754E7,2.2071E8,2.4186E7,1.00:0.11,48172,FBpp0077537
111,63,FBgn0250906,200.00,64,19,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.1856E8,9.2285E7,7.0159E7,4.4928E7,6.074E8,3.7713E7,7.7819E8,1.1462E9,4.8572E7,4.4174E7,3.166E7,1.672E7,2.2344E8,1.2045E7,3.1732E8,4.6183E8,1.53:1.40:1.00:0.53:7.06:0.38:10.02:14.59,9.0262E7,6.7519E8,3.6724E7,2.7955E8,1.00:7.61,43862,FBpp0077419
113,44,FBgn0010397,200.00,11,6,6,,1.1058E8,1.6404E8,1.6327E8,1.6804E8,4.2445E6,1.5871E6,2.171E6,1.4229E6,7.7059E7,1.2659E8,1.2786E8,1.3584E8,3.3236E6,5.6867E5,9.43E5,1.3133E5,0.60:0.99:1.00:1.06:0.03:0.02:0.02:0.02,1.5148E8,2.8398E6,1.1684E8,1.6922E6,1.00:0.02,72102,FBpp0305369
115,146,FBgn0003890,200.00,19,6,6,Oxidation (M),1.4736E6,3.4189E6,2.7191E6,1.4348E6,3.9504E6,7.222E7,5.276E6,1.7669E6,5.5098E5,2.0953E6,1.5143E6,1.2116E6,3.2311E6,7.2007E7,2.4748E6,8.0794E5,0.36:1.38:1.00:0.80:2.13:47.55:1.63:0.53,2.4813E6,2.855E7,1.5231E6,2.7058E7,1.00:17.77,51253,FBpp0289838
117,21,FBgn0001220,200.00,12,7,7,,5.4789E7,7.0562E7,5.0319E7,4.836E7,2.6566E6,1.6652E6,5.439E6,1.7428E6,3.4391E7,3.6999E7,3.1645E7,2.4725E7,1.5523E6,8.0085E3,2.7305E6,1.5123E6,1.09:1.17:1.00:0.78:0.05:0.02:0.09:0.05,5.7621E7,3.772E6,3.194E7,1.9344E6,1.00:0.06,74066,FBpp0086694
120,156,FBgn0027835,200.00,14,14,14,,5.0786E7,4.2409E7,8.9761E7,7.7259E7,2.9119E7,1.5176E7,4.4859E6,9.8635E6,1.8322E7,1.6231E7,3.4811E7,2.9994E7,1.1514E7,6.3816E6,2.474E6,4.3549E6,0.53:0.47:1.00:0.86:0.33:0.18:0.07:0.13,6.5054E7,1.6099E7,2.4839E7,6.2987E6,1.00:0.25,144276,FBpp0085860
121,143,FBgn0002645,200.00,18,15,15,Oxidation (M),3.443E7,3.9554E7,4.6772E7,4.0623E7,2.3666E7,8.651E6,8.5401E6,5.0266E6,1.6809E7,2.2141E7,2.4367E7,2.1901E7,6.6346E6,3.6361E6,2.2935E6,1.9292E6,0.69:0.91:1.00:0.90:0.27:0.15:0.09:0.08,4.1063E7,1.4016E7,2.1786E7,4.1541E6,1.00:0.19,126669,FBpp0085235
125,79,FBgn0020653,200.00,21,7,7,Deamidation (NQ),5.4368E6,7.0958E6,4.746E6,5.9987E6,1.0773E7,1.2904E8,7.7308E6,1.6514E6,4.919E6,3.8964E6,2.8636E6,3.808E6,7.396E6,7.3531E7,5.6785E6,9.0131E5,1.72:1.36:1.00:1.33:2.58:25.68:1.98:0.31,6.3512E6,4.7005E7,4.3027E6,3.0224E7,1.00:7.02,64323,FBpp0071116
127,97,FBgn0265297,200.00,43,19,19,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.4179E8,1.7574E8,1.7087E8,1.5638E8,2.1629E7,3.4345E7,7.2691E7,5.4674E7,3.9493E7,5.2343E7,5.979E7,5.0645E7,6.5502E6,7.421E6,1.9742E7,1.4388E7,0.66:0.88:1.00:0.85:0.11:0.12:0.33:0.24,1.6128E8,5.0209E7,5.0568E7,1.3238E7,1.00:0.26,69925,FBpp0085915
129,124,FBgn0028646,200.00,2,1,1,,2.5044E7,3.6347E7,3.1563E7,2.8211E7,1.061E5,8.8917E4,7.3678E5,0,2.5044E7,3.6347E7,3.1563E7,2.8211E7,1.061E5,8.8917E4,7.3678E5,0,0.79:1.15:1.00:0.89:0.02:0.02:0.02:0,3.0291E7,3.106E5,3.0291E7,3.106E5,1.00:0.02,78333,FBpp0297541
131,533,FBgn0010516,200.00,43,11,11,Carbamidomethylation,3.961E8,2.7482E7,2.355E8,2.2824E8,1.1776E7,6.4419E6,4.5359E7,2.2678E7,1.7846E8,1.2718E7,8.1128E7,1.0692E8,3.2288E6,6.439E6,1.8712E7,1.3403E7,2.20:0.16:1.00:1.32:0.04:0.08:0.23:0.17,2.2477E8,2.8506E7,9.577E7,1.2137E7,1.00:0.13,34181,FBpp0087186
132,133,FBgn0037146,200.00,29,17,17,Carbamidomethylation; Oxidation (M),4.402E8,4.9375E8,4.5081E8,2.5086E8,2.9209E7,2.6547E7,3.4319E7,4.8385E7,1.4602E8,1.7566E8,1.7016E8,1.5636E8,1.0685E7,8.3222E6,1.2222E7,1.5312E7,0.86:1.03:1.00:0.92:0.06:0.05:0.07:0.09,4.141E8,3.803E7,1.6205E8,1.3157E7,1.00:0.08,84092,FBpp0078130
133,154,FBgn0029155,200.00,3,2,2,,1.4562E7,2.1297E7,1.7924E7,1.8763E7,8.2469E5,5.481E5,1.2682E6,5.8211E4,1.4562E7,2.1297E7,1.7924E7,1.8763E7,8.2469E5,5.481E5,1.2682E6,5.8211E4,0.81:1.19:1.00:1.05:0.05:0.03:0.07:0.02,1.8136E7,6.748E5,1.8136E7,6.748E5,1.00:0.04,69489,FBpp0290922
136,171,FBgn0263391,200.00,4,5,5,Oxidation (M),4.7719E7,4.6007E7,4.0735E7,3.6055E7,1.7849E6,5.7111E6,1.3929E6,2.9719E6,4.5888E7,3.9308E7,3.6527E7,2.6937E7,1.4892E6,4.5327E6,1.3929E6,2.9719E6,1.26:1.08:1.00:0.74:0.04:0.12:0.04:0.08,4.293E7,3.812E6,3.7165E7,3.075E6,1.00:0.08,205201,FBpp0301121
137,191,FBgn0028984,200.00,42,16,16,Carbamidomethylation; Oxidation (M),3.9402E7,5.7857E7,3.7788E7,3.3432E7,5.9555E8,1.5952E8,6.4788E8,7.9344E8,1.8302E7,2.4666E7,1.1341E7,8.5553E6,2.6922E8,1.1668E8,3.0815E8,3.5018E8,1.61:2.17:1.00:0.75:23.74:10.29:27.17:30.88,4.7685E7,5.6276E8,1.7054E7,2.6126E8,1.00:15.32,48476,FBpp0082595
138,244,FBgn0003137,200.00,3,6,6,Oxidation (M); Deamidation (NQ),2.1638E7,1.9993E7,3.2457E7,2.8706E7,1.195E7,8.2941E6,2.7156E6,4.9291E6,1.6142E7,1.4573E7,2.3199E7,2.0774E7,9.9356E6,6.0445E6,2.4043E6,4.3849E6,0.70:0.63:1.00:0.90:0.43:0.26:0.10:0.19,2.5698E7,7.2817E6,1.8672E7,5.6923E6,1.00:0.30,313034,FBpp0291051
143,221,FBgn0003279,200.00,50,17,17,Carbamidomethylation; Oxidation (M),2.6587E7,3.8634E7,2.1658E7,2.0446E7,7.1659E7,3.427E7,1.1118E8,1.0757E8,1.0918E7,9.4316E6,6.7244E6,6.0562E6,2.3245E7,1.3055E7,3.1632E7,4.2424E7,1.62:1.40:1.00:0.90:3.46:1.94:4.70:6.31,2.7235E7,8.6817E7,8.5554E6,2.7745E7,1.00:3.24,45026,FBpp0084617
146,12,FBgn0020513,200.00,41,17,17,Oxidation (M); Deamidation (NQ),1.1894E8,1.1935E8,9.6407E7,6.0413E7,7.1106E8,4.4183E7,1.4693E9,1.2346E9,2.5583E7,4.1585E7,3.4697E7,1.8491E7,2.8122E8,2.1109E7,6.2937E8,4.4668E8,0.74:1.20:1.00:0.53:8.10:0.61:18.14:12.87,1.0525E8,9.1384E8,3.2106E7,3.4525E8,1.00:10.75,47282,FBpp0073538
149,341,FBgn0004117,200.00,45,14,14,Oxidation (M),5.1126E8,5.0205E8,1.6082E9,1.7552E9,5.4959E7,2.6708E7,4.9792E7,3.0148E7,1.7E8,1.6809E8,8.056E8,8.1711E8,2.7336E7,6.4695E6,2.5467E7,1.5961E7,0.21:0.21:1.00:1.01:0.03:0.02:0.03:0.02,1.1292E9,5.0613E7,5.0696E8,2.4434E7,1.00:0.05,32807,FBpp0082535
154,187,FBgn0011747,200.00,2,4,4,,4.5824E6,5.2744E6,7.5888E6,8.7517E6,2.6606E6,2.1846E6,1.464E6,2.1247E4,4.0584E6,4.8667E6,7.0705E6,8.324E6,2.5302E6,2.1491E6,1.4564E6,2.1247E4,0.57:0.69:1.00:1.18:0.36:0.30:0.21:0.02,6.5493E6,2.3241E6,6.0799E6,2.2663E6,1.00:0.37,170167,FBpp0088240
156,134,FBgn0032382,200.00,30,15,15,Oxidation (M),2.6171E7,3.4636E7,2.7684E7,2.1869E7,1.6481E8,1.2326E8,1.2194E8,7.8647E7,1.3135E7,1.5915E7,1.2694E7,1.122E7,6.9447E7,6.0586E7,5.0273E7,3.7141E7,1.03:1.25:1.00:0.88:5.47:4.77:3.96:2.93,2.9317E7,1.2843E8,1.3241E7,5.4362E7,1.00:4.11,67014,FBpp0423050
159,131,FBgn0267408,200.00,11,11,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.6255E7,1.6233E7,2.3736E7,2.208E7,8.6634E6,1.4832E6,5.3316E6,4.5812E6,1.0445E7,9.9798E6,1.3668E7,1.0305E7,5.0185E6,1.1734E6,1.3753E6,3.6886E6,0.76:0.73:1.00:0.75:0.37:0.09:0.10:0.27,2.0091E7,6.804E6,1.1099E7,3.1947E6,1.00:0.29,139125,FBpp0082608
162,99,FBgn0035811,200.00,41,13,13,Carbamidomethylation; Deamidation (NQ),2.2697E6,3.8195E8,3.6363E8,3.0747E8,1.421E7,2.857E6,6.1358E7,2.857E7,9.9614E5,1.4604E8,1.4353E8,1.2611E8,4.6343E6,1.1477E6,2.0868E7,1.013E7,0.02:1.02:1.00:0.88:0.03:0.02:0.15:0.07,3.1112E8,3.3246E7,1.2468E8,1.0826E7,1.00:0.09,45872,FBpp0076520
163,59,FBgn0001098,200.00,20,10,10,Oxidation (M); Deamidation (NQ),2.432E8,2.9324E8,2.3889E8,2.3411E8,1.1827E7,1.0392E7,9.9138E6,3.5695E6,9.5293E7,1.4026E8,1.1531E8,1.1548E8,5.9387E6,5.4303E6,4.8363E6,1.3394E6,0.83:1.22:1.00:1.00:0.05:0.05:0.04:0.02,2.5236E8,8.9984E6,1.1659E8,4.3862E6,1.00:0.04,62536,FBpp0088988
168,248,FBgn0003360,200.00,19,6,6,Carbamidomethylation,7.845E8,6.3002E8,6.0427E8,6.9497E8,3.3425E6,5.0822E6,4.0797E6,1.7076E6,6.0725E8,4.7872E8,4.6971E8,5.17E8,2.4788E6,2.8215E6,2.1689E6,1.2075E6,1.29:1.02:1.00:1.10:0.02:0.02:0.02:0.02,6.8051E8,3.7796E6,5.1817E8,2.2769E6,1.00:0.02,34215,FBpp0073278
169,177,FBgn0286508,200.00,76,20,20,Carbamidomethylation; Oxidation (M); Deamidation (NQ),5.2935E8,7.625E8,6.4763E8,4.0513E8,1.7365E9,1.4745E9,2.9838E9,1.8529E9,2.9876E8,2.9628E8,2.5263E8,1.4955E8,7.16E8,6.8099E8,1.2744E9,8.6251E8,1.18:1.17:1.00:0.59:2.83:2.70:5.04:3.41,7.0306E8,2.1815E9,2.6084E8,9.1248E8,1.00:3.50,34786,FBpp0074019
171,593,FBgn0021765,200.00,68,11,11,Carbamidomethylation; Oxidation (M); Deamidation (NQ),6.3447E8,4.1833E8,6.2806E8,1.4662E8,1.8495E7,3.849E6,4.4653E7,3.1878E7,2.7334E8,1.973E8,2.7479E8,1.1908E8,9.9781E6,3.5914E6,2.5255E7,8.6681E6,0.99:0.72:1.00:0.43:0.04:0.02:0.09:0.03,4.6055E8,3.6894E7,2.1981E8,2.122E7,1.00:0.10,26905,FBpp0074285
183,254,FBgn0029969,200.00,15,5,5,,4.8196E6,4.9762E7,3.5362E7,5.1779E7,1.6789E6,2.3419E7,1.3013E7,5.0262E6,4.7686E6,4.3173E7,3.1202E7,3.4258E7,1.3963E6,2.3249E7,6.9851E6,3.9581E6,0.15:1.38:1.00:1.10:0.04:0.75:0.22:0.13,3.6315E7,1.2342E7,2.835E7,9.8258E6,1.00:0.35,43470,FBpp0071095
188,223,FBgn0038294,200.00,22,8,8,,1.3694E8,1.8253E8,1.9195E8,1.4313E8,1.2296E7,3.8339E6,4.583E6,1.1202E7,1.2216E8,1.7203E8,1.8138E8,1.3524E8,7.2404E6,1.3621E6,1.6419E6,8.2608E6,0.67:0.95:1.00:0.75:0.04:0.02:0.02:0.05,1.6392E8,8.3796E6,1.527E8,4.9193E6,1.00:0.03,41667,FBpp0082490
