Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,FRT_U1 Area,FRT_U2 Area,FRT_PM2 Area,FRT_PM1 Area,FRT_U1 Area (top-3 peptides),FRT_U2 Area (top-3 peptides),FRT_PM2 Area (top-3 peptides),FRT_PM1 Area (top-3 peptides),Sample Profile (Ratio),Tissue_U Area,Tissue_PM Area,Tissue_U Area (top-3 peptides),Tissue_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
237,301,FBgn0041712,12.06,4,2,2,Carbamidomethylation,4.8027E6,7.9952E6,1.369E6,1.91E6,4.8027E6,7.9952E6,1.369E6,1.91E6,0.60:1.00:0.17:0.24,6.3989E6,1.6395E6,6.3989E6,1.6395E6,1.00:0.26,48719,FBpp0071920
917,604,FBgn0039611,11.98,3,2,2,,7.3594E4,5.2823E5,1.1722E6,1.0206E6,7.3594E4,5.2823E5,1.1722E6,1.0206E6,0.14:1.00:2.22:1.93,3.0091E5,1.0964E6,3.0091E5,1.0964E6,1.00:3.64,78936,FBpp0084698
703,756,FBgn0020416,11.79,14,5,5,Oxidation (M),6.2287E6,2.7781E6,1.2993E7,1.8709E7,5.4119E6,2.3483E6,1.0884E7,1.5477E7,2.30:1.00:4.63:6.59,4.5034E6,1.5851E7,3.8801E6,1.3181E7,1.00:3.40,49376,FBpp0080417
736,562,FBgn0039043,11.65,2,1,1,,2.6697E6,2.5233E6,4.3961E4,3.1746E4,2.6697E6,2.5233E6,4.3961E4,3.1746E4,1.06:1.00:0.02:0.02,2.5965E6,3.7853E4,2.5965E6,3.7853E4,1.00:0.02,39458,FBpp0083754
1429,1227,FBgn0037788,11.38,15,3,3,,2.8405E7,2.7923E5,2.8564E6,4.981E6,2.8405E7,2.7923E5,2.8564E6,4.981E6,64.00:1.00:10.23:17.84,1.4342E7,3.9187E6,1.4342E7,3.9187E6,1.00:0.27,33921,FBpp0081657
1135,1356,FBgn0025640,11.34,3,1,1,Carbamidomethylation,6.2094E5,8.1715E5,2.5039E5,1.2745E5,6.2094E5,8.1715E5,2.5039E5,1.2745E5,0.76:1.00:0.31:0.16,7.1904E5,1.8892E5,7.1904E5,1.8892E5,1.00:0.26,31626,FBpp0070110
1502,1858,FBgn0024558,11.32,5,1,1,Carbamidomethylation,1.4564E6,2.3847E5,6.6024E4,3.8766E4,1.4564E6,2.3847E5,6.6024E4,3.8766E4,6.11:1.00:0.28:0.16,8.4743E5,5.2395E4,8.4743E5,5.2395E4,1.00:0.06,31620,FBpp0083673
303,417,FBgn0040349,11.18,61,14,14,Oxidation (M); Deamidation (NQ),4.3947E8,2.8397E8,2.2555E8,3.6497E7,1.6955E8,1.0835E8,7.6688E7,1.5492E7,1.56:1.00:0.71:0.14,3.6172E8,1.3102E8,1.3895E8,4.609E7,1.00:0.33,26063,FBpp0070179
748,869,FBgn0036262,11.12,7,3,3,,4.4674E6,9.9858E5,9.7876E5,8.5787E5,3.7308E6,3.6999E5,6.071E5,5.4351E5,10.08:1.00:1.64:1.47,2.733E6,9.1831E5,2.0504E6,5.753E5,1.00:0.28,34215,FBpp0288569
195,165,FBgn0039640,10.99,29,22,22,Carbamidomethylation; Oxidation (M),4.9249E7,6.0998E7,7.3552E7,1.6877E8,1.0149E7,1.2394E7,1.5398E7,1.1129E8,0.82:1.00:1.24:8.98,5.5123E7,1.2116E8,1.1272E7,6.3344E7,1.00:5.62,115271,FBpp0084751
1937,2124,FBgn0036622,10.65,3,1,1,,3.8692E4,4.1083E5,8.9242E4,2.0943E4,3.8692E4,4.1083E5,8.9242E4,2.0943E4,0.09:1.00:0.22:0.05,2.2476E5,5.5093E4,2.2476E5,5.5093E4,1.00:0.25,43482,FBpp0075179
718,818,FBgn0259785,10.39,3,2,2,,1.2166E6,9.9829E5,3.5132E6,3.6334E6,1.2166E6,9.9829E5,3.5132E6,3.6334E6,1.22:1.00:3.52:3.64,1.1074E6,3.5733E6,1.1074E6,3.5733E6,1.00:3.23,105081,FBpp0077992
306,218,FBgn0266464,10.34,5,3,3,Carbamidomethylation,9.0602E5,2.4358E6,5.325E6,5.231E6,9.0602E5,2.4358E6,5.325E6,5.231E6,0.37:1.00:2.19:2.15,1.6709E6,5.278E6,1.6709E6,5.278E6,1.00:3.16,83434,FBpp0082346
1128,1095,FBgn0036361,10.33,24,7,7,Carbamidomethylation,1.7442E7,1.5469E7,3.8214E6,6.5366E6,1.2062E7,9.9726E6,2.5204E6,4.3405E6,1.21:1.00:0.25:0.44,1.6456E7,5.179E6,1.1017E7,3.4304E6,1.00:0.31,35733,FBpp0075589
470,413,FBgn0026061,10.24,31,12,12,Carbamidomethylation,3.4326E7,2.5424E7,5.3244E7,8.4102E7,1.1446E7,7.0658E6,2.4849E7,3.5162E7,1.62:1.00:3.52:4.98,2.9875E7,6.8673E7,9.2558E6,3.0006E7,1.00:3.24,53571,FBpp0075156
447,1068,FBgn0037874,10.19,63,10,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.7487E8,9.3046E7,6.1469E7,4.1507E7,1.2611E8,6.8323E7,4.9224E7,2.1356E7,1.85:1.00:0.72:0.31,1.3396E8,5.1488E7,9.7216E7,3.529E7,1.00:0.36,19637,FBpp0081820
901,1593,FBgn0264253,10.13,14,2,2,,7.7254E5,1.6824E6,8.3747E6,4.9389E6,7.7254E5,1.6824E6,8.3747E6,4.9389E6,0.46:1.00:4.98:2.94,1.2275E6,6.6568E6,1.2275E6,6.6568E6,1.00:5.42,25662,FBpp0080214
423,327,FBgn0085384,9.87,10,5,5,,1.9181E6,4.6286E6,9.4426E6,1.282E7,1.8133E6,3.8529E6,7.339E6,9.6367E6,0.47:1.00:1.90:2.50,3.2733E6,1.1132E7,2.8331E6,8.4878E6,1.00:3.00,84611,FBpp0297661
448,557,FBgn0050371,9.84,21,6,6,Carbamidomethylation; Oxidation (M),1.3326E7,3.5171E7,8.6501E6,8.0625E6,8.9501E6,2.5029E7,5.4991E6,4.79E6,0.36:1.00:0.22:0.19,2.4248E7,8.3563E6,1.699E7,5.1445E6,1.00:0.30,43616,FBpp0087874
1359,1734,FBgn0030073,9.75,8,2,2,Carbamidomethylation,5.3347E6,1.7997E6,2.0342E6,1.3961E5,5.3347E6,1.7997E6,2.0342E6,1.3961E5,2.96:1.00:1.13:0.08,3.5672E6,1.0869E6,3.5672E6,1.0869E6,1.00:0.30,27141,FBpp0071206
217,87,FBgn0032242,9.42,24,17,17,Carbamidomethylation; Oxidation (M),2.1925E7,3.3462E7,6.682E7,6.23E7,7.9339E6,1.0576E7,2.4455E7,2.1546E7,0.75:1.00:2.31:2.04,2.7694E7,6.456E7,9.2552E6,2.3E7,1.00:2.49,86312,FBpp0079637
803,857,FBgn0033518,9.41,41,7,7,Oxidation (M),7.6082E7,3.7118E7,3.6696E7,6.6138E6,4.4276E7,2.2598E7,2.2945E7,3.8045E6,1.96:1.00:1.02:0.17,5.66E7,2.1655E7,3.3437E7,1.3375E7,1.00:0.40,24756,FBpp0087354
789,2032,FBgn0262484,9.04,36,8,8,Carbamidomethylation; Deamidation (NQ),3.9179E8,4.3139E8,1.9837E8,1.6366E8,3.0341E8,3.4017E8,1.4905E8,1.194E8,0.89:1.00:0.44:0.35,4.1159E8,1.8102E8,3.2179E8,1.3422E8,1.00:0.42,20946,FBpp0293369
1788,5220,FBgn0025700,8.90,10,3,3,,1.3722E7,7.2764E6,5.7466E6,5.965E6,7.125E6,3.168E6,1.4294E6,1.9745E6,2.25:1.00:0.45:0.62,1.0499E7,5.8558E6,5.1465E6,1.702E6,1.00:0.33,21636,FBpp0079495
716,558,FBgn0034708,8.80,5,4,4,Carbamidomethylation,8.9677E5,2.3077E6,3.9704E6,4.0992E6,7.1554E5,2.1398E6,3.6879E6,3.8571E6,0.33:1.00:1.72:1.80,1.6022E6,4.0348E6,1.4277E6,3.7725E6,1.00:2.64,93140,FBpp0071685
1223,1820,FBgn0000109,8.78,11,2,2,,1.1179E7,5.249E6,2.4501E5,5.4749E6,1.1179E7,5.249E6,2.4501E5,5.4749E6,2.13:1.00:0.05:1.04,8.2139E6,2.86E6,8.2139E6,2.86E6,1.00:0.35,19690,FBpp0088438
1007,1200,FBgn0030447,8.18,18,4,4,,1.2358E7,7.7653E6,7.19E6,9.3678E4,1.1386E7,7.591E6,6.9902E6,9.1296E4,1.50:1.00:0.92:0.02,1.0062E7,3.6418E6,9.4884E6,3.5407E6,1.00:0.37,26598,FBpp0073552
1604,1276,FBgn0042094,8.00,13,3,3,Carbamidomethylation,4.378E6,2.2208E6,2.0007E6,5.1332E4,4.378E6,2.2208E6,2.0007E6,5.1332E4,1.97:1.00:0.90:0.02,3.2994E6,1.026E6,3.2994E6,1.026E6,1.00:0.31,24145,FBpp0081806
1016,925,FBgn0021944,7.97,5,2,2,,1.5062E6,3.0263E6,9.6391E5,6.1421E5,1.5062E6,3.0263E6,9.6391E5,6.1421E5,0.50:1.00:0.32:0.20,2.2663E6,7.8906E5,2.2663E6,7.8906E5,1.00:0.35,44420,FBpp0078980
655,660,FBgn0050410,7.87,26,5,5,Carbamidomethylation; Oxidation (M),1.5205E7,4.2877E6,6.9564E6,1.4763E6,1.4957E7,3.6283E6,6.4911E6,2.615E5,4.12:1.00:1.79:0.07,9.7463E6,4.2163E6,9.2926E6,3.3763E6,1.00:0.36,26535,FBpp0296955
290,424,FBgn0035189,7.75,6,2,2,,1.0852E7,1.9695E7,6.1819E6,3.3132E6,1.0852E7,1.9695E7,6.1819E6,3.3132E6,0.55:1.00:0.31:0.17,1.5274E7,4.7476E6,1.5274E7,4.7476E6,1.00:0.31,35604,FBpp0072531
2179,2049,FBgn0027053,7.54,2,1,1,,2.9395E6,7.264E5,1.3421E5,4.3688E5,2.9395E6,7.264E5,1.3421E5,4.3688E5,4.05:1.00:0.18:0.60,1.833E6,2.8555E5,1.833E6,2.8555E5,1.00:0.16,37083,FBpp0082743
432,546,FBgn0035678,7.54,40,11,11,Carbamidomethylation; Oxidation (M),3.2326E8,2.6708E8,8.5915E7,1.0279E8,1.4271E8,1.6115E8,5.0429E7,4.2069E7,0.89:1.00:0.31:0.26,2.9517E8,9.4355E7,1.5193E8,4.6249E7,1.00:0.30,29775,FBpp0076772
1232,849,FBgn0029979,7.53,3,2,2,Deamidation (NQ),3.7183E5,8.7238E4,6.4385E5,7.0648E5,3.7183E5,8.7238E4,6.4385E5,7.0648E5,4.26:1.00:7.38:8.10,2.2953E5,6.7517E5,2.2953E5,6.7517E5,1.00:2.94,100418,FBpp0071084
461,544,FBgn0031913,7.51,21,6,6,,1.0119E8,3.9808E7,2.5367E7,1.6189E7,8.0078E7,2.6369E7,1.9142E7,1.2592E7,3.04:1.00:0.73:0.48,7.0501E7,2.0778E7,5.3223E7,1.5867E7,1.00:0.30,33936,FBpp0079090
1296,1547,FBgn0085453,7.51,48,7,7,Oxidation (M); Deamidation (NQ),6.4869E7,3.6993E7,3.387E7,1.1082E7,5.2352E7,2.8655E7,2.543E7,8.9757E6,1.83:1.00:0.89:0.31,5.0931E7,2.2476E7,4.0504E7,1.7203E7,1.00:0.42,22882,FBpp0309891
422,1037,FBgn0285952,7.44,53,6,6,Carbamidomethylation; Oxidation (M),5.1068E6,1.5392E7,2.3587E6,7.167E6,4.5823E6,1.3985E7,1.7068E6,5.584E6,0.33:1.00:0.12:0.40,1.025E7,4.7629E6,9.2834E6,3.6454E6,1.00:0.39,17591,FBpp0072081
914,820,FBgn0037290,7.43,28,5,5,Oxidation (M),1.506E7,1.4617E7,1.1039E7,6.6951E5,1.2434E7,1.2308E7,9.4344E6,6.3251E5,1.01:1.00:0.77:0.05,1.4838E7,5.854E6,1.2371E7,5.0335E6,1.00:0.41,27006,FBpp0078482
1457,1442,FBgn0034335,7.42,30,6,6,Deamidation (NQ),2.7682E7,1.5249E7,1.6554E7,4.3961E6,2.063E7,1.0545E7,9.654E6,2.916E6,1.96:1.00:0.92:0.28,2.1466E7,1.0475E7,1.5588E7,6.285E6,1.00:0.40,24959,FBpp0085850
978,655,FBgn0086909,7.34,9,3,3,Deamidation (NQ),9.086E5,1.1771E6,3.3731E6,2.5778E6,9.086E5,1.1771E6,3.3731E6,2.5778E6,0.77:1.00:2.87:2.19,1.0429E6,2.9755E6,1.0429E6,2.9755E6,1.00:2.85,47485,FBpp0080642
490,375,FBgn0036702,7.24,10,8,8,Oxidation (M),6.7882E6,1.1254E7,2.1724E7,2.302E7,3.1813E6,5.9669E6,1.1914E7,1.3026E7,0.53:1.00:2.00:2.18,9.0209E6,2.2372E7,4.5741E6,1.247E7,1.00:2.73,89701,FBpp0075012
745,1042,FBgn0086904,7.09,30,5,5,,2.8644E7,1.1857E7,9.0097E6,6.5274E6,2.1885E7,1.0588E7,7.8544E6,5.1811E6,2.07:1.00:0.74:0.49,2.0251E7,7.7685E6,1.6236E7,6.5177E6,1.00:0.40,23021,FBpp0086971
880,837,FBgn0039226,7.07,14,4,4,,2.5439E6,9.416E6,1.2346E7,1.3077E7,2.1967E6,9.3912E6,1.1939E7,1.2843E7,0.23:1.00:1.27:1.37,5.98E6,1.2712E7,5.7939E6,1.2391E7,1.00:2.14,35520,FBpp0304087
711,987,FBgn0030451,7.01,21,5,5,Carbamidomethylation,1.4271E7,6.6533E6,8.243E6,8.269E5,9.9061E6,5.0301E6,5.5334E6,5.1022E5,1.97:1.00:1.10:0.10,1.0462E7,4.535E6,7.4681E6,3.0218E6,1.00:0.40,27767,FBpp0073554
1778,1812,FBgn0039464,6.98,3,1,1,,1.7448E5,2.6175E5,8.8292E4,6.5551E4,1.7448E5,2.6175E5,8.8292E4,6.5551E4,0.67:1.00:0.34:0.25,2.1812E5,7.6921E4,2.1812E5,7.6921E4,1.00:0.35,41331,FBpp0084457
314,251,FBgn0005391,6.84,26,9,9,Oxidation (M),2.1559E7,9.8973E6,3.2028E7,3.2325E7,1.0111E7,4.7492E6,1.7832E7,1.6147E7,2.13:1.00:3.75:3.40,1.5728E7,3.2177E7,7.43E6,1.6989E7,1.00:2.29,49660,FBpp0071359
1357,1313,FBgn0033926,6.82,16,3,3,,2.7106E6,6.5738E5,4.0977E6,4.4045E6,2.7106E6,6.5738E5,4.0977E6,4.4045E6,4.12:1.00:6.23:6.70,1.684E6,4.2511E6,1.684E6,4.2511E6,1.00:2.52,28877,FBpp0086687
1000,835,FBgn0052654,6.81,1,1,1,,1.4812E5,2.3874E5,5.3043E5,6.066E5,1.4812E5,2.3874E5,5.3043E5,6.066E5,0.62:1.00:2.22:2.54,1.9343E5,5.6852E5,1.9343E5,5.6852E5,1.00:2.94,256009,FBpp0309104
563,427,FBgn0037537,6.73,39,12,12,Carbamidomethylation; Oxidation (M),4.177E7,5.9944E7,3.0091E7,1.0813E7,1.8042E7,2.6051E7,1.4416E7,4.7891E6,0.69:1.00:0.55:0.18,5.0857E7,2.0452E7,2.2047E7,9.6024E6,1.00:0.44,36862,FBpp0081312
1392,2098,FBgn0032774,6.69,6,1,1,Deamidation (NQ),1.1402E6,1.5072E6,3.0739E6,3.5758E6,9.9449E5,1.3933E6,2.9601E6,3.5584E6,0.71:1.00:2.12:2.55,1.3237E6,3.3249E6,1.1939E6,3.2593E6,1.00:2.73,28920,FBpp0080762
1527,1539,FBgn0031090,6.62,5,1,1,,2.2148E4,1.9571E4,3.8591E5,5.6941E5,2.2148E4,1.9571E4,3.8591E5,5.6941E5,1.13:1.00:19.72:29.09,2.086E4,4.7766E5,2.086E4,4.7766E5,1.00:22.90,22862,FBpp0070027
1744,2351,FBgn0036556,6.61,7,2,2,,1.4164E5,8.183E5,9.3282E5,1.6485E6,1.4164E5,8.183E5,9.3282E5,1.6485E6,0.17:1.00:1.14:2.01,4.7997E5,1.2907E6,4.7997E5,1.2907E6,1.00:2.69,40326,FBpp0305756
1251,1549,FBgn0086687,6.60,18,6,6,Oxidation (M),9.8727E6,1.3597E7,3.1089E7,3.3369E7,8.4891E6,1.1439E7,2.1328E7,2.1635E7,0.74:1.00:1.86:1.89,1.1735E7,3.2229E7,9.9639E6,2.1481E7,1.00:2.16,43420,FBpp0082095
827,1120,FBgn0015218,6.58,10,2,2,,2.2708E5,4.8065E5,1.3816E6,5.119E5,2.2708E5,4.8065E5,1.3816E6,5.119E5,0.47:1.00:2.87:1.07,3.5386E5,9.4677E5,3.5386E5,9.4677E5,1.00:2.68,29224,FBpp0076218
367,1116,FBgn0027657,6.55,8,1,1,,1.4061E5,8.3681E4,7.2993E3,1.7244E4,1.4061E5,8.3681E4,7.2993E3,1.7244E4,1.68:1.00:0.09:0.21,1.1214E5,1.2272E4,1.1214E5,1.2272E4,1.00:0.11,17088,FBpp0082699
1590,2076,FBgn0037108,6.52,3,1,1,,2.2121E5,1.2528E5,4.2695E5,8.473E5,2.2121E5,1.2528E5,4.2695E5,8.473E5,1.77:1.00:3.41:6.76,1.7325E5,6.3712E5,1.7325E5,6.3712E5,1.00:3.68,54554,FBpp0078076
1975,2810,FBgn0029665,6.50,12,1,1,Oxidation (M),4.7868E4,9.0165E3,2.1346E5,8.5272E4,4.7868E4,9.0165E3,2.1346E5,8.5272E4,5.31:1.00:23.67:9.46,2.8442E4,1.4937E5,2.8442E4,1.4937E5,1.00:5.25,22573,FBpp0070565
1676,1645,FBgn0031987,6.48,5,1,1,,1.3995E4,2.337E7,3.123E5,3.3321E6,1.3995E4,2.337E7,3.123E5,3.3321E6,0.02:1.00:0.02:0.14,1.1692E7,1.8222E6,1.1692E7,1.8222E6,1.00:0.16,32733,FBpp0079258
579,570,FBgn0038964,6.39,22,9,9,Oxidation (M),1.7504E7,6.276E6,2.1454E7,2.635E7,9.8085E6,2.7056E6,1.2565E7,1.6001E7,3.63:1.00:4.64:5.91,1.189E7,2.3902E7,6.257E6,1.4283E7,1.00:2.28,54837,FBpp0083625
729,579,FBgn0050000,6.30,32,8,8,Carbamidomethylation; Oxidation (M),3.7407E7,2.2105E7,2.6181E7,1.7014E6,2.3826E7,1.3897E7,1.59E7,1.2223E6,1.71:1.00:1.14:0.09,2.9756E7,1.3941E7,1.8862E7,8.5612E6,1.00:0.45,26572,FBpp0087548
1256,2055,FBgn0263830,6.24,17,3,3,,1.123E7,5.825E6,7.2574E6,1.1802E5,1.123E7,5.825E6,7.2574E6,1.1802E5,1.93:1.00:1.25:0.02,8.5273E6,3.6877E6,8.5273E6,3.6877E6,1.00:0.43,26969,FBpp0110508
642,1132,FBgn0010411,6.22,16,3,3,Oxidation (M),4.0288E6,1.4604E7,2.3929E6,5.8346E6,4.0288E6,1.4604E7,2.3929E6,5.8346E6,0.28:1.00:0.16:0.40,9.3165E6,4.1138E6,9.3165E6,4.1138E6,1.00:0.44,17612,FBpp0085585
562,490,FBgn0034215,6.15,14,4,4,Oxidation (M),6.8622E6,8.2361E5,1.7471E6,1.5506E6,6.8263E6,6.2908E5,1.5421E6,9.9524E5,10.85:1.00:2.45:1.58,3.8429E6,1.6489E6,3.7277E6,1.2687E6,1.00:0.34,40354,FBpp0303028
2059,2843,FBgn0030745,6.13,8,2,2,,2.7677E5,5.13E5,1.0164E6,2.9484E6,2.7677E5,5.13E5,1.0164E6,2.9484E6,0.54:1.00:1.98:5.75,3.9488E5,1.9824E6,3.9488E5,1.9824E6,1.00:5.02,30353,FBpp0074044
2162,2422,FBgn0037842,6.09,5,1,1,,2.024E4,7.9825E4,2.5652E4,3.6607E5,2.024E4,7.9825E4,2.5652E4,3.6607E5,0.25:1.00:0.32:4.59,5.0032E4,1.9586E5,5.0032E4,1.9586E5,1.00:3.91,26240,FBpp0112129
1057,1109,FBgn0265356,6.08,2,1,1,,1.6975E4,3.9479E4,1.0775E5,9.3351E4,1.6975E4,3.9479E4,1.0775E5,9.3351E4,0.43:1.00:2.73:2.36,2.8227E4,1.0055E5,2.8227E4,1.0055E5,1.00:3.56,164251,FBpp0113114
1104,1496,FBgn0011824,6.07,17,3,3,,1.3477E7,7.8155E6,8.7657E6,8.3306E5,1.3477E7,7.8155E6,8.7657E6,8.3306E5,1.72:1.00:1.12:0.11,1.0646E7,4.7994E6,1.0646E7,4.7994E6,1.00:0.45,22665,FBpp0071562
2256,2439,FBgn0259111,6.05,1,1,1,,6.5966E4,6.9912E4,4.5261E5,5.0101E5,6.5966E4,6.9912E4,4.5261E5,5.0101E5,0.94:1.00:6.47:7.17,6.7939E4,4.7681E5,6.7939E4,4.7681E5,1.00:7.02,131604,FBpp0288814
1152,1924,FBgn0032704,5.97,26,5,5,Oxidation (M); Deamidation (NQ),9.292E6,1.1392E7,2.0763E7,2.0346E7,6.6862E6,1.0222E7,1.9134E7,1.9207E7,0.65:1.00:1.87:1.88,1.0342E7,2.0554E7,8.4542E6,1.9171E7,1.00:2.27,27796,FBpp0309815
444,752,FBgn0031143,5.92,42,7,7,,6.8237E7,2.1216E7,2.0252E7,1.7745E7,5.57E7,2.0207E7,1.7762E7,1.5032E7,2.76:1.00:0.88:0.74,4.4726E7,1.8998E7,3.7953E7,1.6397E7,1.00:0.43,31642,FBpp0076960
170,503,FBgn0002789,5.90,82,25,25,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.7087E9,1.0915E9,1.1615E9,1.0411E9,8.0503E8,5.3105E8,5.8299E8,5.3255E8,1.52:1.00:1.10:1.00,1.4001E9,1.1013E9,6.6804E8,5.5777E8,1.00:0.83,20702,FBpp0311634
997,1119,FBgn0039667,5.90,2,1,1,Oxidation (M),3.3002E5,1.9778E4,4.0131E5,6.2256E5,3.3002E5,1.9778E4,4.0131E5,6.2256E5,16.69:1.00:20.29:31.48,1.749E5,5.1194E5,1.749E5,5.1194E5,1.00:2.93,58880,FBpp0084796
872,690,FBgn0030976,5.88,49,10,10,Carbamidomethylation; Oxidation (M),4.1023E7,2.1238E7,2.5002E7,8.0506E6,2.1745E7,1.017E7,6.9554E6,6.6384E6,2.14:1.00:0.68:0.65,3.113E7,1.6526E7,1.5957E7,6.7969E6,1.00:0.43,26832,FBpp0309670
758,1111,FBgn0039802,5.84,59,9,9,Carbamidomethylation; Oxidation (M); Deamidation (NQ),3.4976E7,2.9388E7,2.8517E7,5.1691E6,2.4174E7,2.0559E7,1.8781E7,3.9923E6,1.18:1.00:0.91:0.19,3.2182E7,1.6843E7,2.2366E7,1.1387E7,1.00:0.51,19250,FBpp0401456
1097,1205,FBgn0035422,5.83,30,4,4,,4.6077E6,8.2558E6,2.6105E6,3.2933E6,4.5543E6,8.1829E6,2.5554E6,3.1943E6,0.56:1.00:0.31:0.39,6.4317E6,2.9519E6,6.3686E6,2.8748E6,1.00:0.45,16029,FBpp0072957
304,293,FBgn0002565,5.75,9,5,5,Oxidation (M),1.2307E7,9.2635E6,8.1381E6,2.0467E6,9.7226E6,6.0521E6,6.0566E6,1.1863E6,1.61:1.00:1.00:0.20,1.0785E7,5.0924E6,7.8873E6,3.6215E6,1.00:0.46,83349,FBpp0088363
676,897,FBgn0261270,5.71,4,2,2,,3.0678E5,9.4133E6,1.0142E7,1.0369E7,3.0678E5,9.4133E6,1.0142E7,1.0369E7,0.03:1.00:1.08:1.10,4.86E6,1.0255E7,4.86E6,1.0255E7,1.00:2.11,43446,FBpp0086690
1675,1613,FBgn0015527,5.70,3,2,2,Oxidation (M),9.3102E4,3.4235E5,5.9382E5,8.4482E5,9.3102E4,3.4235E5,5.9382E5,8.4482E5,0.27:1.00:1.73:2.47,2.1772E5,7.1932E5,2.1772E5,7.1932E5,1.00:3.30,81302,FBpp0076918
869,667,FBgn0260745,5.70,11,9,9,Carbamidomethylation; Oxidation (M),1.1477E7,1.1577E7,2.3122E7,2.1331E7,6.6564E6,7.4657E6,1.4581E7,1.1793E7,0.89:1.00:1.95:1.58,1.1527E7,2.2227E7,7.061E6,1.3187E7,1.00:1.87,100259,FBpp0081972
1534,1501,FBgn0261794,5.65,4,3,3,,3.3718E5,1.1937E6,1.1996E6,2.2668E6,3.3718E5,1.1937E6,1.1996E6,2.2668E6,0.28:1.00:1.00:1.90,7.6542E5,1.7332E6,7.6542E5,1.7332E6,1.00:2.26,119705,FBpp0309966
