Protein Group,Protein ID,Accession,Significance,Coverage (%),Peptides,Unique,PTM,Fluid_U2 Area,Fluid_U1 Area,Fluid_PM1 Area,Fluid_PM2 Area,Fluid_U2 Area (top-3 peptides),Fluid_U1 Area (top-3 peptides),Fluid_PM1 Area (top-3 peptides),Fluid_PM2 Area (top-3 peptides),Sample Profile (Ratio),Fluid_U Area,Fluid_PM Area,Fluid_U Area (top-3 peptides),Fluid_PM Area (top-3 peptides),Group Profile (Ratio),Avg. Mass,Description
160,41,FBgn0261955,200.00,16,7,7,Carbamidomethylation,8.1051E6,4.9488E6,2.8293E7,1.8184E7,4.8553E6,3.6626E6,2.038E7,1.5204E7,1.00:0.75:4.20:3.13,7.8449E6,2.44E7,5.3967E6,1.7792E7,1.00:3.30,58217,FBpp0070871
217,693,FBgn0022097,200.00,19,5,5,,1.1162E7,2.9116E5,2.2417E7,1.5054E7,1.042E7,1.5099E5,2.1725E7,1.3751E7,1.00:0.02:2.08:1.32,7.2127E6,1.8736E7,6.7715E6,1.7738E7,1.00:2.62,27627,FBpp0086468
240,393,FBgn0033879,200.00,15,4,4,,5.6659E5,1.776E6,1.2828E7,1.3544E6,4.2168E5,1.4875E6,1.1686E7,1.1068E6,1.00:3.53:27.71:2.62,1.5277E6,7.0911E6,1.311E6,6.3963E6,1.00:4.88,31582,FBpp0086770
249,373,FBgn0039635,200.00,22,7,7,,2.8369E6,6.1102E5,1.0825E7,2.1063E6,1.5607E6,4.0044E5,7.3337E6,1.7581E6,1.00:0.26:4.70:1.13,1.9004E6,6.834E6,9.8055E5,4.5459E6,1.00:4.64,39351,FBpp0084735
254,182,FBgn0259979,200.00,43,14,14,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.7767E7,6.7879E5,2.7174E7,4.4975E7,7.5964E6,5.8238E5,1.2037E7,2.4146E7,1.00:0.08:1.58:3.18,1.219E7,3.6074E7,4.4208E6,1.8091E7,1.00:4.09,53164,FBpp0085374
256,75,FBgn0000592,200.00,32,12,12,Carbamidomethylation; Oxidation (M),3.8668E7,2.5735E7,1.1003E7,9.7824E6,1.9651E7,1.4444E7,3.843E6,4.5419E6,1.00:0.74:0.20:0.23,3.2202E7,1.0393E7,1.7048E7,4.1925E6,1.00:0.25,61125,FBpp0075735
265,1251,FBgn0004432,200.00,46,10,10,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.349E8,1.3647E8,5.4128E8,5.494E8,6.7291E7,8.6617E7,3.4451E8,3.3216E8,1.00:1.29:5.12:4.94,1.3568E8,5.4576E8,7.6954E7,3.3834E8,1.00:4.40,24666,FBpp0074017
266,181,FBgn0004047,200.00,53,17,17,Oxidation (M); Deamidation (NQ),2.5638E8,1.2334E7,3.7851E8,3.6063E8,7.9691E7,5.0164E6,1.2861E8,1.3757E8,1.00:0.06:1.61:1.73,1.7395E8,3.6957E8,4.6637E7,1.3309E8,1.00:2.85,46101,FBpp0073652
286,417,FBgn0040349,200.00,34,6,6,,2.5295E5,2.7805E7,5.3589E6,4.3927E5,1.893E4,1.8866E7,4.0355E6,6.6346E3,1.00:64.00:64.00:0.35,1.7059E7,4.1961E6,1.2473E7,3.3181E6,1.00:0.27,26063,FBpp0070179
305,932,FBgn0034583,200.00,22,5,5,,7.4542E6,2.2749E6,2.1446E7,1.2636E7,5.8636E6,2.2081E6,1.9399E7,1.1132E7,1.00:0.38:3.31:1.90,6.6634E6,1.7041E7,5.8347E6,1.5266E7,1.00:2.62,31556,FBpp0071470
317,144,FBgn0016123,200.00,2,1,1,,9.3543E5,1.6216E5,1.9636E5,1.0971E5,9.3543E5,1.6216E5,1.9636E5,1.0971E5,1.00:0.17:0.21:0.12,5.4879E5,1.5304E5,5.4879E5,1.5304E5,1.00:0.28,65262,FBpp0085095
320,1011,FBgn0032453,200.00,38,6,6,Carbamidomethylation; Oxidation (M),1.9103E7,3.2469E4,4.7506E7,2.2131E7,1.6975E7,3.2469E4,3.364E7,1.9944E7,1.00:0.02:1.98:1.17,1.2645E7,3.4818E7,1.0518E7,2.6792E7,1.00:2.55,28706,FBpp0079979
321,516,FBgn0039697,200.00,36,7,7,Oxidation (M),7.0396E5,1.9519E6,1.9874E7,5.3244E6,4.0897E5,1.4164E6,1.0977E7,3.2573E6,1.00:3.46:26.84:7.96,1.4933E6,1.2599E7,1.03E6,7.1172E6,1.00:6.91,27218,FBpp0084901
338,456,FBgn0261436,200.00,41,14,14,Carbamidomethylation; Oxidation (M),4.0715E7,2.2302E6,7.4609E7,6.4955E7,1.6035E7,7.5336E5,3.3102E7,2.5374E7,1.00:0.05:2.06:1.58,3.1693E7,6.9782E7,1.3009E7,2.9238E7,1.00:2.25,48885,FBpp0078625
344,1116,FBgn0027657,200.00,58,7,7,Carbamidomethylation; Deamidation (NQ),5.8171E7,5.0443E7,2.2394E8,1.6963E8,3.5231E7,2.6079E7,1.6122E8,1.1973E8,1.00:0.74:4.58:3.40,5.4307E7,1.9743E8,3.0655E7,1.4048E8,1.00:4.58,17088,FBpp0082699
424,1796,FBgn0004403,200.00,46,7,7,Oxidation (M),9.8369E6,7.4174E6,2.7552E7,3.763E7,7.1169E6,4.8878E6,2.0236E7,2.7967E7,1.00:0.69:2.84:3.93,8.6271E6,3.2591E7,6.0023E6,2.4101E7,1.00:4.02,16265,FBpp0071050
424,1797,FBgn0004404,200.00,46,7,7,Oxidation (M),9.8369E6,7.4174E6,2.7552E7,3.763E7,7.1169E6,4.8878E6,2.0236E7,2.7967E7,1.00:0.69:2.84:3.93,8.6271E6,3.2591E7,6.0023E6,2.4101E7,1.00:4.02,16265,FBpp0071052
444,344,FBgn0033101,200.00,55,13,13,Carbamidomethylation; Oxidation (M),5.1789E7,1.3818E6,8.0408E7,6.1283E7,1.6466E7,6.0543E5,3.1779E7,2.6755E7,1.00:0.04:1.93:1.62,3.3139E7,7.0846E7,8.5357E6,2.9267E7,1.00:3.43,35418,FBpp0085467
446,589,FBgn0037723,200.00,30,8,8,Oxidation (M),3.8071E7,1.1194E6,5.7001E7,5.1332E7,1.8992E7,2.7398E4,3.2449E7,2.9383E7,1.00:0.02:1.71:1.55,2.3797E7,5.4167E7,1.2024E7,3.0916E7,1.00:2.57,32335,FBpp0081556
451,653,FBgn0014869,200.00,61,13,13,Carbamidomethylation; Oxidation (M); Deamidation (NQ),4.8016E6,9.5053E7,3.0832E8,7.6208E7,3.8703E6,4.8439E7,1.6077E8,3.7521E7,1.00:12.52:41.54:9.69,5.567E7,1.9226E8,2.6154E7,9.9148E7,1.00:3.79,28573,FBpp0084753
453,1633,FBgn0262512,200.00,18,2,2,Carbamidomethylation; Oxidation (M),1.4E6,1.2555E6,6.1477E6,5.403E6,1.4E6,1.2555E6,6.1477E6,5.403E6,1.00:0.90:4.39:3.86,1.3278E6,5.7754E6,1.3278E6,5.7754E6,1.00:4.35,13850,FBpp0086474
479,1964,FBgn0003274,200.00,35,2,2,Oxidation (M),2.8923E6,3.5487E6,1.0479E7,1.511E7,2.8923E6,3.5487E6,1.0479E7,1.511E7,1.00:1.23:3.62:5.22,3.2205E6,1.2795E7,3.2205E6,1.2795E7,1.00:3.97,11757,FBpp0086252
480,1006,FBgn0033886,200.00,5,1,1,,2.3244E4,0,1.0153E6,5.3878E5,2.3244E4,0,1.0153E6,5.3878E5,1.00:0:43.68:23.18,2.3244E4,7.7703E5,2.3244E4,7.7703E5,1.00:33.43,45555,FBpp0308980
502,574,FBgn0032287,200.00,3,1,1,,4.6508E5,0,2.2048E6,1.0828E6,4.6508E5,0,2.2048E6,1.0828E6,1.00:0:4.74:2.33,4.6508E5,1.6438E6,4.6508E5,1.6438E6,1.00:3.53,43421,FBpp0079697
507,1784,FBgn0000308,200.00,73,6,6,Carbamidomethylation; Deamidation (NQ),4.0945E7,3.4258E7,1.3027E8,1.4047E8,3.1669E7,2.6774E7,1.0848E8,1.0262E8,1.00:0.85:3.43:3.24,3.7601E7,1.3542E8,2.9221E7,1.056E8,1.00:3.61,13723,FBpp0078864
516,891,FBgn0004066,200.00,18,3,3,,2.64E5,2.3848E6,8.0438E6,1.1371E6,2.64E5,2.3848E6,8.0438E6,1.1371E6,1.00:9.03:30.47:4.31,1.6153E6,4.5904E6,1.6153E6,4.5904E6,1.00:2.84,27973,FBpp0073989
549,1013,FBgn0039713,200.00,31,5,5,,3.3776E6,4.1622E6,1.6452E7,5.946E6,2.9457E6,3.3817E6,1.4802E7,5.3763E6,1.00:1.15:5.03:1.83,4.3022E6,1.1782E7,3.696E6,1.0424E7,1.00:2.82,23759,FBpp0099686
557,474,FBgn0028526,200.00,20,5,5,,5.7222E6,9.6984E4,1.0995E7,1.0612E7,4.1263E6,8.3552E4,7.348E6,8.1346E6,1.00:0.02:1.78:1.97,3.1858E6,1.0803E7,2.1049E6,7.7413E6,1.00:3.68,36698,FBpp0080177
558,1299,FBgn0262536,200.00,20,3,3,,8.8788E7,5.7767E7,7.3395E6,9.4699E6,8.8788E7,5.7767E7,7.3395E6,9.4699E6,1.00:0.65:0.08:0.11,7.3278E7,8.4047E6,7.3278E7,8.4047E6,1.00:0.11,19795,FBpp0293416
560,683,FBgn0030239,200.00,42,8,8,Carbamidomethylation,5.9354E5,9.5266E6,5.0626E7,1.1311E7,8.0527E4,5.9914E6,3.7272E7,8.5124E6,1.00:64.00:64.00:64.00,6.023E6,3.1964E7,3.6973E6,2.2892E7,1.00:6.19,26672,FBpp0073235
581,499,FBgn0028685,200.00,17,6,6,Carbamidomethylation; Deamidation (NQ),5.458E6,1.4332E6,9.1748E6,1.0845E7,4.2401E6,4.6531E5,6.3091E6,8.681E6,1.00:0.11:1.49:2.05,4.054E6,1.001E7,2.7409E6,7.4951E6,1.00:2.73,44911,FBpp0293948
582,1568,FBgn0259209,200.00,10,5,5,Carbamidomethylation; Deamidation (NQ),2.1423E8,1.6725E8,5.8612E8,8.9737E8,2.028E8,1.5523E8,5.4724E8,8.477E8,1.00:0.77:2.70:4.18,1.9074E8,7.4174E8,1.7902E8,6.9747E8,1.00:3.90,52986,FBpp0288975
584,543,FBgn0011638,200.00,10,3,3,,1.7451E6,1.7024E5,2.2118E6,7.7423E6,1.7451E6,1.7024E5,2.2118E6,7.7423E6,1.00:0.10:1.27:4.44,1.5301E6,4.977E6,1.5301E6,4.977E6,1.00:3.25,44885,FBpp0080906
588,922,FBgn0011726,200.00,70,12,12,Carbamidomethylation; Oxidation (M),1.0229E8,9.0009E7,3.7667E8,3.4581E8,6.4074E7,5.4125E7,1.966E8,2.1732E8,1.00:0.84:3.07:3.39,1.0197E8,3.6911E8,5.9189E7,2.0699E8,1.00:3.50,17153,FBpp0072097
594,1074,FBgn0262515,200.00,12,3,3,,1.1566E6,9.7097E5,3.4727E6,3.7264E6,1.1566E6,9.7097E5,3.4727E6,3.7264E6,1.00:0.84:3.00:3.22,1.6034E6,3.7087E6,1.6034E6,3.7087E6,1.00:2.31,41124,FBpp0087668
597,1578,FBgn0034138,200.00,36,3,3,Oxidation (M),3.9009E6,1.615E6,1.3106E7,1.0511E7,3.9009E6,1.615E6,1.3106E7,1.0511E7,1.00:0.41:3.36:2.69,2.7579E6,1.1809E7,2.7579E6,1.1809E7,1.00:4.28,17037,FBpp0086269
600,486,FBgn0020443,200.00,14,7,7,Carbamidomethylation; Oxidation (M),1.2738E7,1.0595E7,1.7118E6,7.2916E6,9.9909E6,7.7471E6,3.1997E5,4.9496E6,1.00:0.78:0.03:0.50,1.2047E7,5.2012E6,8.869E6,3.3343E6,1.00:0.38,66452,FBpp0079951
604,897,FBgn0261270,200.00,14,4,4,Oxidation (M),7.6138E6,7.0021E5,1.6954E7,1.0882E7,7.252E6,7.0021E5,1.6102E7,1.0419E7,1.00:0.10:2.22:1.44,4.3379E6,1.3918E7,3.9761E6,1.326E7,1.00:3.34,43446,FBpp0086690
607,1581,FBgn0013749,200.00,20,4,4,Carbamidomethylation; Oxidation (M),3.5756E6,5.1208E5,7.1245E6,5.0678E6,2.818E6,4.9419E5,5.9277E6,4.5606E6,1.00:0.18:2.10:1.62,2.0438E6,6.0961E6,1.6561E6,5.2441E6,1.00:3.17,20617,FBpp0088256
608,1334,FBgn0010424,200.00,29,4,4,Oxidation (M),3.2364E6,4.6501E6,1.8321E7,1.2785E7,3.2344E6,3.9484E6,1.7138E7,1.0763E7,1.00:1.22:5.30:3.33,4.4659E6,1.5553E7,4.114E6,1.395E7,1.00:3.39,17696,FBpp0088546
614,1268,FBgn0038570,200.00,31,5,5,Deamidation (NQ),6.096E6,5.2889E6,2.0479E7,2.311E7,5.0501E6,4.6299E6,1.7162E7,2.0244E7,1.00:0.92:3.40:4.01,6.9984E6,2.1794E7,6.1459E6,1.8703E7,1.00:3.04,19896,FBpp0100079
621,1165,FBgn0003462,200.00,66,8,8,Carbamidomethylation; Deamidation (NQ),5.8395E7,4.9709E7,1.942E8,1.6199E8,3.8803E7,3.6199E7,1.4408E8,1.1438E8,1.00:0.93:3.71:2.95,5.4294E7,1.7816E8,3.7501E7,1.2923E8,1.00:3.45,15699,FBpp0075958
623,1273,FBgn0038972,200.00,22,2,2,Oxidation (M),1.219E6,0,4.0898E6,1.2528E6,1.219E6,0,4.0898E6,1.2528E6,1.00:0:3.36:1.03,1.219E6,2.6713E6,1.219E6,2.6713E6,1.00:2.19,19822,FBpp0083647
629,771,FBgn0259243,200.00,21,8,8,Carbamidomethylation; Oxidation (M),1.0951E7,3.9212E6,2.9242E7,2.1559E7,6.1347E6,2.1783E6,2.5086E7,1.3809E7,1.00:0.36:4.09:2.25,7.8137E6,2.5401E7,4.1565E6,1.9448E7,1.00:4.68,51813,FBpp0291777
639,818,FBgn0259785,200.00,2,1,1,,2.4018E5,7.0126E5,1.6564E5,1.3419E5,2.4018E5,7.0126E5,1.6564E5,1.3419E5,1.00:2.92:0.69:0.56,4.7072E5,1.4992E5,4.7072E5,1.4992E5,1.00:0.32,105081,FBpp0077992
641,607,FBgn0032727,200.00,19,5,5,Oxidation (M),1.2017E7,4.4556E5,3.0483E7,2.3045E7,1.0459E7,2.7193E5,2.6652E7,2.0413E7,1.00:0.03:2.55:1.95,6.2315E6,2.6764E7,5.3654E6,2.3532E7,1.00:4.39,36682,FBpp0080731
658,869,FBgn0036262,200.00,22,5,5,Carbamidomethylation; Oxidation (M),8.2071E6,1.8149E4,2.1014E7,6.2036E6,6.6362E6,1.4257E4,1.8561E7,5.1822E6,1.00:0.02:2.80:0.78,4.1126E6,1.3609E7,3.3252E6,1.1872E7,1.00:3.57,34215,FBpp0288569
659,523,FBgn0028688,200.00,26,9,9,,1.2656E7,5.6408E5,2.1857E7,1.7057E7,6.018E6,0,1.1063E7,9.4693E6,1.00:0:1.84:1.57,1.1382E7,1.9457E7,6.018E6,1.0266E7,1.00:1.71,45381,FBpp0083687
665,1111,FBgn0039802,200.00,44,6,6,Carbamidomethylation; Oxidation (M); Deamidation (NQ),1.2477E7,0,1.9864E7,2.0969E7,6.3247E6,0,1.4138E7,1.2951E7,1.00:0:2.24:2.05,1.2477E7,2.0416E7,6.3247E6,1.3545E7,1.00:2.14,19250,FBpp0401456
673,2099,FBgn0013954,200.00,73,7,7,Carbamidomethylation; Deamidation (NQ),3.5368E7,2.6757E7,1.2573E8,9.5915E7,2.5478E7,1.4951E7,7.9715E7,7.3015E7,1.00:0.59:3.13:2.87,3.1063E7,1.1082E8,2.0214E7,7.6365E7,1.00:3.78,11666,FBpp0085703
687,577,FBgn0034588,200.00,16,9,9,,1.1685E7,1.1382E7,2.0829E6,4.1909E6,5.8289E6,4.7008E6,4.5356E5,2.4526E6,1.00:0.81:0.08:0.42,1.1533E7,3.5083E6,5.2648E6,1.5809E6,1.00:0.30,76707,FBpp0071495
689,903,FBgn0034743,200.00,48,8,8,Carbamidomethylation,2.0551E7,2.0154E7,5.8464E7,6.5894E7,1.1187E7,1.2912E7,3.5486E7,4.4371E7,1.00:1.15:3.17:3.97,2.0352E7,6.2179E7,1.2049E7,3.9929E7,1.00:3.31,16775,FBpp0071766
693,2032,FBgn0262484,200.00,30,4,4,Carbamidomethylation,2.1984E8,2.2354E8,1.4538E7,1.4857E7,2.1294E8,2.2084E8,1.3821E7,1.3608E7,1.00:1.04:0.06:0.06,2.2169E8,1.4731E7,2.1689E8,1.3748E7,1.00:0.06,20946,FBpp0293369
695,737,FBgn0040078,200.00,7,3,3,,5.8156E5,3.983E4,1.3662E6,1.776E6,5.8156E5,3.983E4,1.3662E6,1.776E6,1.00:0.07:2.35:3.05,5.1802E5,1.5711E6,5.1802E5,1.5711E6,1.00:3.03,50242,FBpp0081704
697,1287,FBgn0261592,200.00,20,4,4,Carbamidomethylation; Oxidation (M),1.8952E7,1.5833E6,4.46E7,2.6228E7,1.8702E7,1.5737E6,4.3212E7,2.6164E7,1.00:0.08:2.31:1.40,1.106E7,3.5414E7,1.093E7,3.4688E7,1.00:3.17,28407,FBpp0071087
700,1527,FBgn0031145,200.00,74,5,5,Carbamidomethylation; Oxidation (M),3.6552E6,3.5551E6,2.0047E7,4.9539E6,2.6043E6,2.9794E6,1.5753E7,3.777E6,1.00:1.14:6.05:1.45,3.6052E6,1.2501E7,2.7919E6,9.765E6,1.00:3.50,14565,FBpp0076934
733,883,FBgn0026777,200.00,11,3,3,,4.7604E5,1.6154E5,1.0182E6,2.3017E6,4.7604E5,1.6154E5,1.0182E6,2.3017E6,1.00:0.34:2.14:4.84,3.5632E5,1.6599E6,3.5632E5,1.6599E6,1.00:4.66,45781,FBpp0088191
744,684,FBgn0036974,200.00,16,6,6,Oxidation (M),3.8864E6,2.9737E5,8.0801E6,7.022E6,2.6799E6,0,5.8879E6,4.3645E6,1.00:0:2.20:1.63,3.7529E6,7.5511E6,2.6799E6,5.1262E6,1.00:1.91,49777,FBpp0304202
752,965,FBgn0262734,200.00,12,5,5,Carbamidomethylation,3.1169E6,9.4451E5,9.4158E6,7.4238E6,2.9555E6,8.203E5,8.4586E6,6.8973E6,1.00:0.28:2.86:2.33,2.2748E6,8.4198E6,2.1274E6,7.6779E6,1.00:3.61,41775,FBpp0310225
762,1266,FBgn0010198,200.00,18,2,2,Deamidation (NQ),5.3304E6,4.4908E6,1.8856E7,2.0402E7,5.2819E6,4.2395E6,1.8082E7,2.0305E7,1.00:0.80:3.42:3.84,4.9106E6,1.9629E7,4.7607E6,1.9194E7,1.00:4.03,14771,FBpp0073623
820,1008,FBgn0032961,200.00,17,4,4,Carbamidomethylation,1.6582E6,6.2334E4,3.4108E6,3.3304E6,1.6172E6,6.2334E4,3.0954E6,3.1159E6,1.00:0.04:1.91:1.93,1.0926E6,3.3706E6,1.0516E6,3.1057E6,1.00:2.95,40154,FBpp0085258
826,1703,FBgn0033912,200.00,35,5,5,,7.1463E6,5.1528E6,2.7477E7,1.689E7,6.1155E6,4.5029E6,2.4004E7,1.208E7,1.00:0.74:3.93:1.98,6.2931E6,2.2798E7,5.3092E6,1.8042E7,1.00:3.40,16017,FBpp0308991
827,654,FBgn0039094,200.00,27,7,7,Oxidation (M),4.0578E6,0,9.8196E6,6.4332E6,2.5846E6,0,6.6043E6,4.2836E6,1.00:0:2.56:1.66,4.0578E6,8.1264E6,2.5846E6,5.444E6,1.00:2.11,41187,FBpp0083872
836,918,FBgn0051472,200.00,12,2,2,,0,5.2171E5,2.2988E6,2.5192E5,0,5.2171E5,2.2988E6,2.5192E5,-:64.00:64.00:64.00,5.2171E5,1.2753E6,5.2171E5,1.2753E6,1.00:2.44,27928,FBpp0081244
838,898,FBgn0260484,200.00,12,4,4,,3.0276E6,1.5966E6,5.744E6,1.5572E7,2.898E6,1.5774E6,5.6858E6,1.5189E7,1.00:0.54:1.96:5.24,3.1347E6,1.0658E7,3.0603E6,1.0438E7,1.00:3.41,41037,FBpp0070575
838,899,FBgn0029676,200.00,12,4,4,,3.0276E6,1.5966E6,5.744E6,1.5572E7,2.898E6,1.5774E6,5.6858E6,1.5189E7,1.00:0.54:1.96:5.24,3.1347E6,1.0658E7,3.0603E6,1.0438E7,1.00:3.41,41037,FBpp0070573
861,1347,FBgn0011272,200.00,24,6,6,,3.2289E6,8.9655E6,3.5036E7,7.6511E6,2.9611E6,6.654E6,2.5659E7,6.2255E6,1.00:2.25:8.67:2.10,6.0972E6,2.1344E7,4.8075E6,1.5942E7,1.00:3.32,24951,FBpp0079484
864,2340,FBgn0010387,200.00,73,4,4,,1.5216E7,1.5841E7,6.7533E7,4.0163E7,9.7574E6,1.3908E7,5.8082E7,3.0223E7,1.00:1.43:5.95:3.10,1.5529E7,5.3848E7,1.1833E7,4.4152E7,1.00:3.73,9557,FBpp0076625
866,943,FBgn0035438,200.00,30,7,7,Oxidation (M); Deamidation (NQ),2.4651E7,1.2712E7,6.7133E7,5.3502E7,1.3761E7,7.9013E6,4.195E7,3.1501E7,1.00:0.57:3.05:2.29,1.8681E7,6.0317E7,1.0831E7,3.6725E7,1.00:3.39,26238,FBpp0072932
869,1590,FBgn0004687,200.00,16,2,2,,1.4818E5,6.3497E4,7.6644E5,5.5927E5,1.4818E5,6.3497E4,7.6644E5,5.5927E5,1.00:0.43:5.17:3.77,1.378E5,6.6286E5,1.378E5,6.6286E5,1.00:4.81,17497,FBpp0300803
880,1727,FBgn0037913,200.00,25,4,4,Oxidation (M),4.6213E7,3.5613E7,1.2713E8,1.5721E8,4.2814E7,3.3296E7,1.2044E8,1.5072E8,1.00:0.78:2.81:3.52,4.0913E7,1.4217E8,3.8055E7,1.3558E8,1.00:3.56,17137,FBpp0099728
882,886,FBgn0263200,200.00,23,7,7,Carbamidomethylation; Oxidation (M); Deamidation (NQ),4.1287E7,2.4665E6,9.4825E7,5.4132E7,2.3858E7,1.0151E6,5.9982E7,3.6324E7,1.00:0.04:2.51:1.52,2.2289E7,7.4479E7,1.2569E7,4.8153E7,1.00:3.83,40447,FBpp0078951
891,1800,FBgn0031692,200.00,11,2,2,,3.2469E5,5.3853E5,3.393E6,1.6474E6,3.2469E5,5.3853E5,3.393E6,1.6474E6,1.00:1.66:10.45:5.07,4.3161E5,2.5202E6,4.3161E5,2.5202E6,1.00:5.84,16796,FBpp0078699
898,1852,FBgn0286786,200.00,25,3,3,,2.6717E6,1.8916E6,8.9341E6,7.4011E6,2.6717E6,1.8916E6,8.9341E6,7.4011E6,1.00:0.71:3.34:2.77,2.2817E6,8.1676E6,2.2817E6,8.1676E6,1.00:3.58,13883,FBpp0079443
921,1205,FBgn0035422,200.00,29,4,4,,7.5433E6,5.2061E6,2.1192E7,1.9099E7,6.7822E6,5.1328E6,1.951E7,1.8492E7,1.00:0.76:2.88:2.73,6.3747E6,2.0146E7,5.9575E6,1.9001E7,1.00:3.19,16029,FBpp0072957
927,1242,FBgn0035830,200.00,22,5,5,Oxidation (M),3.8531E6,2.2198E5,1.2274E7,7.6708E6,3.1062E6,9.5494E4,1.0776E7,5.6059E6,1.00:0.03:3.47:1.80,3.3417E6,1.1446E7,2.6573E6,9.6652E6,1.00:3.64,36733,FBpp0076470
928,828,FBgn0003116,200.00,8,3,3,,2.0705E6,0,8.4548E6,6.3647E6,2.0705E6,0,8.4548E6,6.3647E6,1.00:0:4.08:3.07,2.0705E6,7.4098E6,2.0705E6,7.4098E6,1.00:3.58,45180,FBpp0070373
935,1343,FBgn0010265,200.00,33,5,5,Oxidation (M),7.2006E6,9.5879E6,2.906E7,2.7933E7,6.7947E6,7.903E6,2.8841E7,2.6917E7,1.00:1.16:4.24:3.96,9.5576E6,2.8496E7,8.5123E6,2.7879E7,1.00:3.28,17178,FBpp0079328
939,953,FBgn0032494,200.00,4,1,1,,7.7493E5,6.3044E2,1.6033E6,1.7135E6,7.7493E5,6.3044E2,1.6033E6,1.7135E6,1.00:0.02:2.07:2.21,3.8778E5,1.6584E6,3.8778E5,1.6584E6,1.00:4.28,28515,FBpp0080030
952,2043,FBgn0039359,200.00,37,4,4,Oxidation (M),8.9351E6,3.1476E6,2.6171E7,1.8235E7,8.0396E6,2.7036E6,2.0675E7,1.4837E7,1.00:0.34:2.57:1.85,6.0414E6,2.2203E7,5.3716E6,1.7756E7,1.00:3.31,15903,FBpp0084306
